Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,Loss/State_matching_loss,Loss/Action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.0033097569830715656,-2.1202802658081055,0.7604447603225708,0.0019568228162825108,0.05325319617986679,0.125212162733078,0.037541769444942474,0.1809326708316803,1.0410668849945068,1.0544754266738892,0.07534430176019669,-4.092930316925049,1.7994674444198608,1.80166757106781,42.78356,39.726368,27.486435,27.801525,27.54732,48.601368,1.8132718,1.4235756
12000,0.0023129212204366922,-3.2073144912719727,0.5892199873924255,0.001826554536819458,0.09188660979270935,0.11514715850353241,0.05408050864934921,0.1406027376651764,1.0690619945526123,1.0842273235321045,0.058336712419986725,-4.100329399108887,2.9644269943237305,2.96181058883667,42.972458,39.907135,27.387089,27.951496,27.525177,48.638184,3.5111375,6.6293826
13000,0.004286283627152443,-3.9685938358306885,0.4617626965045929,0.0017396308248862624,0.11636848002672195,0.11140529811382294,0.0403846800327301,0.13438259065151215,1.0907008647918701,1.1028022766113281,0.045844174921512604,-4.072440147399902,3.7788333892822266,3.771784543991089,43.18972,39.99953,27.327606,28.090479,27.524364,48.732407,3.1727283,10.511937
14000,0.00174472585786134,-4.512351989746094,0.3646138608455658,0.0017759032780304551,0.16690078377723694,0.10665833950042725,0.03785398602485657,0.13379588723182678,1.1139838695526123,1.1302955150604248,0.03633378818631172,-4.035118103027344,4.396710395812988,4.38608455657959,43.423252,40.05751,27.296705,28.216743,27.51315,48.890312,2.6498258,16.940224
15000,0.003479224629700184,-4.875799179077148,0.29142406582832336,0.0016471047420054674,0.20658408105373383,0.09952138364315033,0.027163509279489517,0.10859723389148712,1.1372590065002441,1.1512420177459717,0.02892197109758854,-4.0762176513671875,4.759477138519287,4.75687313079834,43.705517,40.115734,27.28912,28.34257,27.517775,49.09761,3.619312,22.170856
16000,0.010785825550556183,-5.141258239746094,0.23195312917232513,0.007191992364823818,0.3072006106376648,0.07966703921556473,0.030479203909635544,0.09281910955905914,1.157707929611206,1.1728382110595703,0.023082394152879715,-4.048919677734375,5.002995491027832,5.007292747497559,44.012733,40.186028,27.297537,28.457579,27.604708,49.29241,4.029903,27.080667
17000,0.0024720048531889915,-5.246542930603027,0.18392641842365265,0.0020859416108578444,0.3028259873390198,0.106765016913414,0.03332417830824852,0.09459728002548218,1.1819084882736206,1.201514482498169,0.018444236367940903,-3.9720263481140137,5.165650367736816,5.169458389282227,44.397717,40.235046,27.31105,28.566805,27.726807,49.4639,3.8397768,25.786871
18000,0.0017253747209906578,-5.306931495666504,0.14616228640079498,0.0032516035716980696,0.28986620903015137,0.12544390559196472,0.04226452112197876,0.08995470404624939,1.19985032081604,1.2138057947158813,0.014755825512111187,-3.905395984649658,5.219914436340332,5.22804594039917,44.71264,40.2631,27.341137,28.666288,27.82679,49.64475,4.1279483,30.736414
19000,0.004684893414378166,-5.250290870666504,0.11702100187540054,0.0024876899551600218,0.23860657215118408,0.10966148972511292,0.047193851321935654,0.08649997413158417,1.2179956436157227,1.2450813055038452,0.011806393042206764,-3.9116640090942383,5.177593231201172,5.176242351531982,45.094883,40.302208,27.385138,28.749949,27.91495,49.81908,4.3281274,28.989124
20000,0.0016615422209724784,-5.201622009277344,0.09295801818370819,0.0028615177143365145,0.2683731019496918,0.14194096624851227,0.05004192143678665,0.07362259924411774,1.2423017024993896,1.2660274505615234,0.00945042073726654,-3.8363900184631348,5.151598930358887,5.155594825744629,45.46144,40.349854,27.426006,28.808563,27.97214,50.02535,4.069756,34.32388
21000,0.00209039356559515,-5.095810413360596,0.07511179149150848,0.002840160159394145,0.29918932914733887,0.12996980547904968,0.047755032777786255,0.0752485990524292,1.2663300037384033,1.2919209003448486,0.007568763103336096,-3.9239187240600586,5.042727470397949,5.044849395751953,45.823368,40.350414,27.465961,28.854324,28.01074,50.199677,4.144447,35.365753
