Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/source_action_matching_loss,Loss/target_action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/actor_e2_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Eval/Return,Eval/Return_e2
640010,0.20968152582645416,-8.58028793334961,-5.799993232358247e-05,0.10850682854652405,0.24119722843170166,0.3132501542568207,0.0020198107231408358,0.2513647973537445,0.002146898303180933,21.027015686035156,8.191104888916016,8.180152893066406,32.125893,61.535294,58.144512,28.459938,59.856655,59.03314,118.222916,116.245804
640020,1.3000948429107666,-21.59401512145996,0.0030076063703745604,0.10037048906087875,0.03533746302127838,0.059716641902923584,0.0021058719139546156,0.08170077204704285,0.0028337761759757996,19.938657760620117,21.065170288085938,21.037994384765625,43.535957,75.93978,70.66331,28.461807,71.81847,70.67694,205.17558,129.93468
640030,0.4122726023197174,-23.845962524414062,-0.0009622519719414413,0.03808736056089401,0.016797257587313652,0.06753689795732498,0.0019441640470176935,0.045608118176460266,0.0015659735072404146,21.61447525024414,23.478490829467773,23.49966049194336,54.047207,85.282906,81.993225,28.437035,83.08784,81.42829,302.68826,197.35558
640040,0.9773381352424622,-29.140323638916016,0.0007239367114380002,0.06473282724618912,0.02220020443201065,0.10048450529575348,0.002066101646050811,0.031984783709049225,0.002294318052008748,20.684465408325195,28.763320922851562,28.740386962890625,64.95748,93.90474,92.16621,28.39259,92.72495,91.000114,311.5533,272.2696
640050,1.1938722133636475,-30.431133270263672,0.00045157340355217457,0.12422855198383331,0.07267305254936218,0.008516283705830574,0.0022493251599371433,0.02379407361149788,0.0029318355955183506,20.845975875854492,29.92404556274414,29.935047149658203,76.59094,102.124954,101.62284,28.344162,102.52084,99.70421,544.1839,141.59647
640060,1.7896032333374023,-30.294713973999023,-0.0009135576547123492,0.06204088032245636,0.09187234938144684,0.0391521118581295,0.002228484721854329,0.016844570636749268,0.0030337811913341284,21.301128387451172,29.82810401916504,29.89642333984375,87.29102,109.48081,111.27735,28.300154,112.125496,108.97647,354.62933,178.91832
640070,2.2882907390594482,-28.78426170349121,0.0018792528426274657,0.1456717550754547,0.08604447543621063,0.02498992346227169,0.0020910261664539576,0.015317840501666069,0.0024314499460160732,20.22710609436035,28.43045425415039,28.38106346130371,99.64438,116.89337,120.509384,28.260988,121.859215,117.9944,440.69278,255.02979
640080,6.874509811401367,-28.529136657714844,0.0019233764614909887,0.3626796007156372,0.2022564858198166,0.07434546947479248,0.0017132192151620984,0.014490697532892227,0.0030535003170371056,20.370107650756836,28.214920043945312,28.31035041809082,111.787125,124.50702,128.79814,28.223114,131.21844,127.598564,405.20648,241.9268
640090,4.00581169128418,-34.355865478515625,-0.002540266839787364,0.18355001509189606,0.044239286333322525,0.06759364902973175,0.0017249623779207468,0.01377185620367527,0.00366191565990448,21.69369888305664,33.81791687011719,33.78925704956055,123.64761,132.14427,136.03871,28.186386,141.22398,135.7685,379.86157,112.382225
640100,3.801297187805176,-32.467952728271484,-0.0018244530074298382,0.18942487239837646,0.10223599523305893,0.04944884032011032,0.0014261198230087757,0.010761044919490814,0.003680736757814884,21.495676040649414,32.00450134277344,32.00639343261719,133.2696,139.00183,143.31572,28.155128,151.60829,144.40984,285.4859,95.19393
640110,4.702085494995117,-34.720359802246094,0.0005223002517595887,0.22243747115135193,0.08411775529384613,0.033017806708812714,0.001419352600350976,0.008844342082738876,0.004230234306305647,20.87653160095215,34.31646728515625,34.183406829833984,139.63976,146.08841,149.79312,28.128685,160.52368,152.12767,325.92258,0.124145724
640120,4.473964691162109,-37.808349609375,0.00044818228343501687,0.5722622871398926,0.1471869796514511,0.06576398760080338,0.0014488224405795336,0.008090706542134285,0.004571084398776293,20.901952743530273,37.29474639892578,37.55006408691406,144.52008,152.80542,155.85901,28.106155,168.52376,159.15947,327.71362,0.00030061856
