Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Analysis/Val_diff,Analysis/SA_diff,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Eval/Return
641000,0.2890191376209259,-18.242422103881836,0.5122856497764587,0.010611594654619694,0.01823619194328785,0.004382957238703966,3.4358394,0.354553759098053,0.8673604726791382,0.014665022492408752,-13.932483673095703,18.013484954833984,18.005176544189453,17.360254,40.59882,30.68273,32.302193,32.006084,1.6410415e-07
642000,1.9523009061813354,-20.01934051513672,-0.04046047851443291,0.00727412523701787,0.004414813593029976,0.004950654227286577,4.24203,7.583075523376465,0.7403186559677124,0.0033952833618968725,32.91667175292969,19.032058715820312,19.034334182739258,22.474957,41.71228,31.560013,32.95683,32.682976,2.2225172e-06
643000,4.483927249908447,-35.49781036376953,0.0059393905103206635,0.012902208603918552,0.00331762433052063,0.002549308817833662,4.398613,1.843013048171997,0.618132472038269,0.0024100651498883963,18.53558921813965,35.18047332763672,35.18859100341797,26.344452,44.807102,32.10493,33.238297,33.072987,1.4789423e-05
644000,1.3938255310058594,-40.46154022216797,0.004087636712938547,0.010682987049221992,0.002024371176958084,0.0019570798613131046,2.7317483,4.181197643280029,0.4781155586242676,0.0038624275475740433,19.941692352294922,39.85489273071289,39.85526657104492,30.107725,46.591198,32.443237,33.425648,33.3178,0.003265916
645000,6.109541893005371,-40.39251708984375,-0.0006777294329367578,0.007555361371487379,0.0019920028280466795,0.08622139692306519,3.726589,3.1880247592926025,0.438593327999115,0.0020615903194993734,21.3287410736084,39.979278564453125,39.98760223388672,33.553555,47.6438,32.782974,33.55002,33.54466,7.5793273e-06
646000,8.574246406555176,-44.518341064453125,-0.0033785649575293064,0.01114398892968893,0.00236396212130785,0.06207640469074249,5.9002275,4.00689697265625,0.4405194818973541,0.0031769629567861557,22.063457489013672,43.942047119140625,43.94065856933594,35.37225,48.920864,33.155632,33.785545,33.75756,4.7543845
647000,1.0114049911499023,-48.80027770996094,0.0037416552659124136,0.009956445544958115,0.0025128982961177826,0.003151743672788143,5.254238,4.610773086547852,0.37054699659347534,0.003342588432133198,19.880611419677734,48.2320556640625,48.2462272644043,37.816772,50.139927,33.429543,33.944683,33.948307,6.0023107e-05
