Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.04639221355319023,0.01368822529911995,1.182632565498352,1.8307929039001465,0.0036250753328204155,-1.2120927572250366,2.0289793014526367,-0.8054682612419128,2.8439037799835205,38.47771,32.829426,20.877565,62.74097,37.082306,80.33905029296875
264192,0.2298714816570282,0.20233425498008728,1.137947678565979,1.6609033346176147,0.008128847926855087,-7.969599723815918,6.889252185821533,1.6680092811584473,5.243259429931641,52.53312,48.001534,29.899097,84.49988,45.793068,327.388427734375
392192,0.38998398184776306,0.8601922988891602,1.6133079528808594,1.7756942510604858,0.006922761909663677,-24.15632438659668,15.034746170043945,7.936135292053223,7.125001430511475,61.81121,57.763283,40.096962,100.571236,53.43723,873.3344116210938
520192,0.5183203220367432,1.333811640739441,2.608778953552246,1.8643888235092163,0.009376680478453636,-52.39765930175781,25.664857864379883,23.657468795776367,3.65787935256958,68.11835,64.446594,47.712894,112.40044,60.00918,937.4930419921875
648192,0.8240885138511658,2.5755720138549805,2.457066535949707,1.787453055381775,0.010003741830587387,-80.20336151123047,37.1108283996582,40.46294403076172,4.492631912231445,72.9225,69.68271,52.87356,121.56033,65.36775,387.0591125488281
776192,0.4539140462875366,1.2358424663543701,1.9468693733215332,1.7721712589263916,0.006481907796114683,-101.86079406738281,46.48662185668945,52.30223846435547,6.610968112945557,76.47101,73.56965,55.97339,128.93437,70.11869,936.6903076171875
904192,0.4252850413322449,1.1109211444854736,1.907887578010559,1.8097999095916748,0.006199906580150127,-122.70350646972656,54.89592742919922,66.53485107421875,11.645394325256348,79.88614,77.36034,58.27621,135.45204,74.62923,955.8916015625
1032192,0.4087899923324585,0.8247004151344299,1.6193366050720215,1.7731778621673584,0.006874367594718933,-135.3092498779297,62.785400390625,72.42142486572266,9.794477462768555,83.15888,81.01067,60.5694,140.45416,78.880226,959.9485473632812
1160192,0.3864178955554962,0.5731507539749146,2.198967456817627,1.7024339437484741,0.0070325518026947975,-146.1099395751953,69.90982055664062,78.04048156738281,8.261113166809082,86.04089,84.199104,62.232975,145.19118,83.0271,966.4581909179688
1288192,0.3211047649383545,1.0577492713928223,2.561431884765625,1.7445285320281982,0.007016069255769253,-156.022216796875,74.61001586914062,81.45463562011719,6.968315601348877,89.09439,87.16566,63.381275,149.31627,86.97209,959.0218505859375
1416192,0.3373774290084839,0.612185537815094,2.2146096229553223,1.757569670677185,0.004341872874647379,-162.13726806640625,78.1531753540039,82.93824005126953,4.872499465942383,91.86718,89.98874,64.274704,153.0917,90.76319,969.390380859375
1544192,0.36311277747154236,0.8457304835319519,2.0570125579833984,1.72001051902771,0.005855729803442955,-170.44796752929688,82.26496887207031,85.8158187866211,3.6261632442474365,94.236275,92.599495,65.44148,155.71819,94.305984,966.2911987304688
1672192,0.25666648149490356,0.7957565784454346,1.564762830734253,1.6980942487716675,0.005518569145351648,-173.73269653320312,85.17776489257812,87.35340881347656,2.3225598335266113,96.536545,95.18365,66.51786,158.60959,97.65356,964.1866455078125
1800192,0.28857898712158203,0.6353025436401367,1.6526305675506592,1.7019867897033691,0.005296626128256321,-177.16554260253906,88.39057922363281,88.95999145507812,1.5948028564453125,98.91482,97.73302,67.58863,161.5171,101.0314,967.9577026367188
