Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.12662270665168762,-13.430333137512207,-0.0026562106795608997,0.2229360193014145,0.02313278242945671,0.5767053961753845,13.379558563232422,13.37912654876709,20.60958480834961,20.644115447998047,20.48288345336914,0.12670229375362396,20.48288345336914,0.0009153831051662564,32.761948,49.518784,12.807202,15.558725,574.614013671875
264192,0.21441490948200226,-36.781211853027344,0.0019948789849877357,0.2960210144519806,0.06656235456466675,0.486194372177124,36.65010452270508,36.605491638183594,26.7683162689209,26.943511962890625,26.639373779296875,0.12894301116466522,26.639373779296875,0.0005696149310097098,45.080887,59.261463,15.712324,20.715528,679.9630126953125
392192,0.2038690149784088,-51.16909408569336,-0.0002760305069386959,0.3989329934120178,0.051755256950855255,0.4202466309070587,51.06074523925781,51.0220947265625,30.24686050415039,30.48082733154297,30.125171661376953,0.12168754637241364,30.125173568725586,0.000728630751837045,53.381905,67.05335,18.146173,24.702953,825.9041748046875
520192,0.14642558991909027,-61.78833770751953,0.0002517346292734146,0.4407113790512085,0.03931209817528725,0.5369009375572205,61.633949279785156,61.63483810424805,32.4749755859375,32.727638244628906,32.363338470458984,0.11163896322250366,32.363338470458984,0.0006241559749469161,59.930576,74.649864,20.84772,28.305975,821.5078125
648192,0.1819552183151245,-69.0760269165039,-0.0012302245013415813,0.4621596336364746,0.03493767976760864,0.47770559787750244,68.95683288574219,68.97949981689453,32.737892150878906,32.922874450683594,32.635528564453125,0.10236019641160965,32.635528564453125,0.0009324200800620019,65.76968,82.188225,23.381987,31.68257,845.3483276367188
776192,0.0626574158668518,-72.68220520019531,-0.000660306541249156,0.4976031482219696,0.02875434421002865,0.5452181100845337,72.55694580078125,72.56991577148438,31.514503479003906,31.797239303588867,31.4129581451416,0.10154341161251068,31.4129581451416,0.001967109739780426,70.78687,89.55693,25.749153,34.651497,862.5392456054688
904192,0.0478624552488327,-76.0033187866211,0.0009705127449706197,0.4835805296897888,0.025644242763519287,0.4842987060546875,75.95988464355469,75.97625732421875,30.42965316772461,30.68401336669922,30.332901000976562,0.09675294905900955,30.33289909362793,0.0016025565564632416,75.13324,96.8083,28.054438,37.295048,861.0133666992188
1032192,0.16511112451553345,-78.33763122558594,-0.0006054348195903003,0.4842570722103119,0.023900054395198822,0.5344244241714478,78.2954330444336,78.26031494140625,28.877775192260742,29.168434143066406,28.786060333251953,0.09171544015407562,28.786060333251953,0.0010432511335238814,79.22208,104.06031,30.309439,39.84092,854.8516845703125
1160192,0.032099634408950806,-80.586669921875,0.002438991330564022,0.489387571811676,0.022457227110862732,0.47664254903793335,80.54554748535156,80.52732849121094,28.04574966430664,28.302967071533203,27.957870483398438,0.08788055181503296,27.957870483398438,0.004478305112570524,82.84201,111.24343,32.46799,42.08596,865.1978759765625
1288192,0.09243318438529968,-80.1011734008789,-0.00152084871660918,0.5295191407203674,0.022617582231760025,0.5650174617767334,80.03936004638672,80.04481506347656,27.504192352294922,27.868019104003906,27.41309356689453,0.0910976380109787,27.413095474243164,0.0010855004657059908,86.28073,118.10442,34.492947,44.222073,863.078125
