Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,Loss/State_matching_loss,Loss/Action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.003289281390607357,-2.148191452026367,0.7579795122146606,0.0009393024956807494,0.0027089137583971024,0.06980013847351074,5.084339618682861,0.45821306109428406,1.0292904376983643,1.0337679386138916,0.07534056901931763,-4.060708999633789,1.8455407619476318,1.8535813093185425,36.145355,39.48685,27.345686,27.627821,27.489344,51.123898,1.2466787,1.3020798
12000,0.00137331523001194,-3.2978920936584473,0.5879820585250854,0.0010321660665795207,0.0031313190702348948,0.07699574530124664,5.116474151611328,0.4775511920452118,1.0537948608398438,1.0569241046905518,0.05832526832818985,-4.081086158752441,3.045896530151367,3.046903133392334,36.21067,39.56405,27.170086,27.582623,27.380749,51.205997,2.590408,2.678734
13000,0.003108323784545064,-4.06434440612793,0.4608705937862396,0.006151297595351934,0.010570796206593513,0.05005287006497383,5.358119010925293,0.6249016523361206,1.0790972709655762,1.0857638120651245,0.04583215340971947,-4.055617332458496,3.8771867752075195,3.8797566890716553,36.192867,39.56614,27.0882,27.555815,27.304363,51.404953,3.2344716,4.800176
14000,0.001109626842662692,-4.59227991104126,0.36582615971565247,0.0010632950579747558,0.0075531923212111,0.0668257474899292,4.887110233306885,0.525273323059082,1.1073004007339478,1.1126961708068848,0.036316897720098495,-4.073166847229004,4.453423023223877,4.453785419464111,36.173557,39.544025,27.042273,27.523333,27.246845,51.576813,3.4330475,5.9271183
15000,0.00538293831050396,-4.956090927124023,0.29178401827812195,0.006499262060970068,0.010610727593302727,0.051857125014066696,4.952282905578613,0.5426725745201111,1.1304948329925537,1.1352347135543823,0.028906887397170067,-4.09392786026001,4.78627347946167,4.787325382232666,36.164757,39.508327,27.001,27.506584,27.196936,51.74105,3.0326905,6.4567504
16000,0.0010224359575659037,-5.161333084106445,0.23246683180332184,0.0010300521971657872,0.008967511355876923,0.07494819164276123,4.9535980224609375,0.7111119031906128,1.1556739807128906,1.1591287851333618,0.023063139989972115,-4.079583168029785,5.092238426208496,5.091279983520508,36.187344,39.458626,26.960384,27.5039,27.142918,51.955444,3.5774415,5.9687343
17000,0.002491065301001072,-5.299419403076172,0.1851365566253662,0.0012448305496945977,0.0116422139108181,0.07743556797504425,5.022337913513184,0.6312611699104309,1.1831638813018799,1.1835336685180664,0.018425891175866127,-4.04763126373291,5.201072692871094,5.202207088470459,36.190388,39.39162,26.933258,27.489664,27.105997,52.15194,4.276567,6.3666606
18000,0.0038549532182514668,-5.308138847351074,0.146744966506958,0.012319342233240604,0.012829398736357689,0.0534067302942276,4.827581882476807,0.5283306837081909,1.2065157890319824,1.2077137231826782,0.014736264012753963,-3.958085060119629,5.259298324584961,5.259485721588135,36.227634,39.33964,26.934702,27.458738,27.092524,52.35967,4.378091,7.2459054
19000,0.0022302959114313126,-5.336148262023926,0.11805523931980133,0.006908840965479612,0.012007422745227814,0.043429501354694366,4.574625492095947,0.634847104549408,1.228980302810669,1.2266218662261963,0.011790432967245579,-4.012799263000488,5.267899036407471,5.267646789550781,36.331474,39.315937,26.939909,27.442913,27.076605,52.603947,3.8669965,6.6310153
20000,0.001847556559368968,-5.2586469650268555,0.09402383863925934,0.006931287702172995,0.013904993422329426,0.03627859801054001,4.130526065826416,0.5047991275787354,1.238997459411621,1.239853858947754,0.009438972920179367,-3.961235761642456,5.2237548828125,5.223484516143799,36.47036,39.31068,26.952717,27.411823,27.045155,52.812153,3.2676742,6.6118164
