Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,DDPG/Q_mean,DDPG/Explore_stddev,DDPG/Grad_steps,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
1416192,1.0969514846801758,-60.023319244384766,13.89094352722168,0.5997905731201172,0.20813724398612976,-0.09123414754867554,59.68436813354492,0.10000002384185791,88000,99.14608,121.03279,31.998451,32.13432,32.029583,1.2017607688903809,1.7136799097061157,0.6800118684768677,0.9304936528205872,0.0,0.8576377630233765,0.0,0.3781043291091919,0.8653991222381592,1.0313632488250732,0.4275307059288025,0.4866606295108795,501.9921875
1544192,1.139017105102539,-61.09468078613281,12.61584758758545,0.6774957180023193,0.19304242730140686,-0.0903695747256279,61.01691436767578,0.10000002384185791,96000,103.00642,125.71361,31.998451,32.13432,32.029583,1.271571397781372,1.8525290489196777,0.6596119403839111,0.9234970808029175,0.0,0.9472466707229614,0.0,0.35574036836624146,0.8297510743141174,0.9821552038192749,0.3978877365589142,0.4777134656906128,568.125
1672192,1.1515564918518066,-62.22361755371094,12.555854797363281,0.65965336561203,0.19730877876281738,-0.0903342068195343,61.478416442871094,0.10000002384185791,104000,106.85603,130.26694,31.998451,32.13432,32.029583,1.2306174039840698,1.8025425672531128,0.6370736956596375,0.9164343476295471,0.0,0.9232121706008911,0.0,0.3850569427013397,0.8490400314331055,1.0012158155441284,0.42522966861724854,0.48478153347969055,622.0546875
1800192,1.3763022422790527,-62.72773742675781,11.906112670898438,0.6596113443374634,0.20878008008003235,-0.08869759738445282,62.197914123535156,0.10000002384185791,112000,110.49238,134.72418,31.998451,32.13432,32.029583,1.2371830940246582,1.7409820556640625,0.6679589748382568,0.9371985197067261,0.0,0.8646749258041382,0.0,0.38192057609558105,0.8818138241767883,1.026737928390503,0.4244924783706665,0.47930794954299927,627.5390625
1928192,1.4333618879318237,-63.38905715942383,12.20379638671875,0.7206539511680603,0.1996970921754837,-0.09002570062875748,63.48125457763672,0.10000002384185791,120000,114.134796,139.05824,31.998451,32.13432,32.029583,1.29461669921875,1.8669462203979492,0.6585329174995422,0.8886914253234863,0.0,0.946812629699707,0.0,0.34533971548080444,0.8534261584281921,1.0138275623321533,0.4122753143310547,0.47946178913116455,643.796875
2056192,1.0261726379394531,-64.00796508789062,11.980935096740723,0.6300234198570251,0.1889379769563675,-0.09247215837240219,63.81090545654297,0.10000002384185791,128000,117.61445,143.18938,31.998451,32.13432,32.029583,1.2455954551696777,1.8477400541305542,0.6930437088012695,0.9554111957550049,0.0,0.9317985773086548,0.0,0.3714980483055115,0.8595303893089294,0.9862297177314758,0.4124627113342285,0.45346757769584656,692.5703125
2184192,1.606192946434021,-64.61039733886719,12.456260681152344,0.6862302422523499,0.2258196771144867,-0.09071425348520279,64.12622833251953,0.10000002384185791,136000,121.00865,147.39734,31.998451,32.13432,32.029583,1.2890377044677734,1.8483561277389526,0.6377075910568237,0.9063672423362732,0.0,0.9428855180740356,0.0,0.3704817593097687,0.8745015859603882,1.0515670776367188,0.4245718717575073,0.5018926858901978,669.1015625
2312192,1.319594383239746,-65.14718627929688,12.15244197845459,0.6580953001976013,0.21695947647094727,-0.08767539262771606,64.77928924560547,0.10000002384185791,144000,124.35086,151.47244,31.998451,32.13432,32.029583,1.2802273035049438,1.7947099208831787,0.683843731880188,0.9401757717132568,0.0,0.8507824540138245,0.0,0.3666899800300598,0.8370140790939331,1.0010682344436646,0.4018678665161133,0.48572084307670593,632.0625
2440192,1.3237380981445312,-65.53767395019531,13.066597938537598,0.6210599541664124,0.22731855511665344,-0.08964566886425018,65.17669677734375,0.10000002384185791,152000,127.517365,155.62059,31.998451,32.13432,32.029583,1.2319996356964111,1.7964272499084473,0.660590648651123,0.9394739866256714,0.0,0.8975108861923218,0.0,0.3880113959312439,0.8526129126548767,1.0517423152923584,0.4275703430175781,0.4924878478050232,673.59375
2568192,1.299504280090332,-66.2354736328125,12.691588401794434,0.6195510625839233,0.20130237936973572,-0.09054950624704361,65.86973571777344,0.10000002384185791,160000,130.71626,159.58817,31.998451,32.13432,32.029583,1.225973129272461,1.7413463592529297,0.6674633622169495,0.9410867691040039,0.0,0.8685093522071838,0.0,0.3814058303833008,0.8614983558654785,1.0457828044891357,0.4317687749862671,0.5056893229484558,673.828125
2696192,1.3948309421539307,-66.59786224365234,11.446455955505371,0.6246947646141052,0.1904621720314026,-0.09173472225666046,66.27416229248047,0.10000002384185791,168000,133.5938,163.46066,31.998451,32.13432,32.029583,1.2763373851776123,1.820167064666748,0.6728752255439758,0.9244809150695801,0.0,0.8890247344970703,0.0,0.34967559576034546,0.8524876832962036,1.016209602355957,0.3953022360801697,0.48434966802597046,674.1328125
2824192,1.8736464977264404,-67.25692749023438,11.9104642868042,0.6691726446151733,0.196676105260849,-0.09216606616973877,66.85746765136719,0.10000002384185791,176000,136.63095,167.33086,31.998451,32.13432,32.029583,1.2758829593658447,1.7813937664031982,0.6741050481796265,0.9394984245300293,0.0,0.8621481657028198,0.0,0.3693819046020508,0.8286923170089722,0.992501974105835,0.3816167116165161,0.4520314633846283,723.9296875
2952192,1.3379541635513306,-67.62991333007812,12.678842544555664,0.7106815576553345,0.20060980319976807,-0.09176923334598541,67.25983428955078,0.10000002384185791,184000,139.40593,171.0456,31.998451,32.13432,32.029583,1.305006504058838,1.8225163221359253,0.6654437780380249,0.9210612773895264,0.0,0.9008498787879944,0.0,0.36413446068763733,0.8424946069717407,1.0251879692077637,0.40809863805770874,0.46988487243652344,749.6640625
3080192,1.2802053689956665,-67.91742706298828,12.289657592773438,0.5673784017562866,0.19364461302757263,-0.09310249239206314,67.63070678710938,0.10000002384185791,192000,142.15245,174.72801,31.998451,32.13432,32.029583,1.209364891052246,1.73677659034729,0.6747236251831055,0.9527592658996582,0.0,0.8321062922477722,0.0,0.3644924461841583,0.8204490542411804,0.9952822327613831,0.39398467540740967,0.4742087721824646,687.1171875
3208192,1.5045390129089355,-68.51215362548828,12.582901954650879,0.5681279897689819,0.19886445999145508,-0.09053324908018112,67.86453247070312,0.10000002384185791,200000,144.75401,178.33394,31.998451,32.13432,32.029583,1.2049200534820557,1.7709206342697144,0.6501931548118591,0.9063646793365479,0.0,0.9013746380805969,0.0,0.35362815856933594,0.8629026412963867,0.9995591640472412,0.4171998202800751,0.46736085414886475,708.3828125
3336192,1.4531497955322266,-68.91081237792969,11.501898765563965,0.5673739314079285,0.1635892242193222,-0.09309358149766922,68.41531372070312,0.10000002384185791,208000,147.35626,181.88211,31.998451,32.13432,32.029583,1.257217526435852,1.766310453414917,0.6717208623886108,0.9603126049041748,0.0,0.8050881624221802,0.0,0.3917059004306793,0.8157764673233032,0.9952134490013123,0.37516897916793823,0.4810149073600769,672.09375
