algorithm,label,metric,point,ci_low,ci_high
dhpg_fix2,DHPG,Median,0.8818017374674478,0.8611391255696614,0.9036238216145834
dhpg_fix2,DHPG,IQM,0.8641892386696557,0.8275549207513982,0.8854408667408337
dhpg_fix2,DHPG,Mean,0.7618737112136114,0.7243262021418979,0.8052058070409865
dhpg_fix2,DHPG,Optimality Gap,0.23812628878638853,0.1947941929590135,0.27567379785810187
algo3,Ours,Median,0.8717487447102864,0.8566273119608561,0.9131626688639323
algo3,Ours,IQM,0.8767743907581678,0.8490495027021928,0.8996518031311035
algo3,Ours,Mean,0.793639335850307,0.7741278494625999,0.8138181464640298
algo3,Ours,Optimality Gap,0.20636066414969312,0.18618185353596992,0.22587215053740003
