algorithm,step,iqm,ci_low,ci_high
dhpg_fix2,0.0,0.13578102337230336,0.1097211174455556,0.17270510667020622
dhpg_fix2,50001.92,0.13578102337230336,0.10899249852787364,0.17643066508986732
dhpg_fix2,100003.84,0.13578102337230336,0.10992309155464174,0.17429882535067467
dhpg_fix2,150005.76,0.15527782976588858,0.12590807287366143,0.19443796149230713
dhpg_fix2,200007.68,0.20998086973172272,0.17629125570485932,0.2504881105402804
dhpg_fix2,250009.59999999998,0.2608404377291993,0.22245732576692007,0.3095518655525536
dhpg_fix2,300011.52,0.3281416524578303,0.2793591516433328,0.3836183676193488
dhpg_fix2,350013.44,0.3995359407303134,0.3377812329078903,0.4664907179834054
dhpg_fix2,400015.36,0.45112045273537366,0.3867224439282594,0.5182399277815107
dhpg_fix2,450017.27999999997,0.4824869521859741,0.4274924248264668,0.5525160039644844
dhpg_fix2,500019.19999999995,0.5136981172737815,0.45674601076949367,0.5803733502997519
dhpg_fix2,550021.12,0.5453295302323498,0.4879832174991142,0.6080053438865217
dhpg_fix2,600023.04,0.5654453290691582,0.502301889897952,0.6328534268541592
dhpg_fix2,650024.96,0.5834106452352628,0.5024014843330793,0.6585190134978165
dhpg_fix2,700026.88,0.6034360233533824,0.5372525739560075,0.6657770358096202
dhpg_fix2,750028.7999999999,0.6225524226789995,0.5634977269913899,0.680112230747653
dhpg_fix2,800030.72,0.6416124178488992,0.5837768599573085,0.7021444633478336
dhpg_fix2,850032.64,0.6669304738601961,0.6099850955886424,0.7238862303912852
dhpg_fix2,900034.5599999999,0.6908993322454279,0.6253156159035755,0.7502230125219947
dhpg_fix2,950036.48,0.7025398849127752,0.6461611322681801,0.7561379080127453
dhpg_fix2,1000038.3999999999,0.7107689977383699,0.661520629594796,0.7580509034050958
dhpg_fix2,1050040.32,0.7177525451296164,0.6711654936286316,0.7634879803648515
dhpg_fix2,1100042.24,0.723043421287287,0.6745883057348745,0.7660199259083141
dhpg_fix2,1150044.16,0.7263728422480914,0.6745653805052103,0.7742378962340865
dhpg_fix2,1200046.08,0.7369742749778055,0.6861915506733177,0.7797349401268642
dhpg_fix2,1250048.0,0.7494980433959959,0.7062593426822315,0.7894452893945867
dhpg_fix2,1300049.92,0.7593235469380327,0.7187641619980913,0.7974033393507414
dhpg_fix2,1350051.8399999999,0.7656202586709874,0.7209818668488271,0.8043840053170055
dhpg_fix2,1400053.76,0.7711688694482423,0.725372577923007,0.8122631040551758
dhpg_fix2,1450055.68,0.7740965991812412,0.7317101243424017,0.813770853085405
dhpg_fix2,1500057.5999999999,0.7802813470614346,0.7422611172675393,0.8178894489843194
dhpg_fix2,1550059.52,0.791442646463068,0.746356100842396,0.8274182901724186
dhpg_fix2,1600061.44,0.7892390446803976,0.7471573484215422,0.8236590683979047
dhpg_fix2,1650063.3599999999,0.7850981802652256,0.7433502347583396,0.8210364303873956
dhpg_fix2,1700065.28,0.788066691044034,0.7470840679623802,0.8226954686550737
dhpg_fix2,1750067.2,0.7975217154640891,0.7556210893545393,0.8297832873401433
dhpg_fix2,1800069.1199999999,0.8066108583851207,0.7663629364060615,0.8411957818842107
dhpg_fix2,1850071.04,0.8144748105990324,0.7756970598628651,0.8473740139994064
dhpg_fix2,1900072.96,0.823980149478427,0.7822154123417245,0.8560315756394599
dhpg_fix2,1950074.88,0.8312402738006036,0.7899908216495141,0.8625668444431649
dhpg_fix2,2000076.7999999998,0.8356079157093395,0.7960649996052689,0.8654822450081011
dhpg_fix2,2050078.72,0.8383665979161488,0.8002017557723111,0.8661119425710114
dhpg_fix2,2100080.64,0.836766799847745,0.8009277925495717,0.8661961696993518
dhpg_fix2,2150082.56,0.8332696382947887,0.7968158724084057,0.8640703285904376
dhpg_fix2,2200084.48,0.8313666441850143,0.7934453773462581,0.8633622549582297
dhpg_fix2,2250086.4,0.8328851524935635,0.7976778858804597,0.8594030487029476
dhpg_fix2,2300088.32,0.831767496541637,0.7992566483934106,0.8569855247027919
dhpg_fix2,2350090.2399999998,0.837203448153409,0.8012301204925592,0.8631910054308138
dhpg_fix2,2400092.16,0.8483969273925781,0.8043143047394576,0.8729277672120918
dhpg_fix2,2450094.08,0.8561292165147818,0.8075718660759611,0.8829499308185148
