Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return,Eval/Return_deterministic
768000,0.047796398401260376,0.009332709945738316,0.12299929559230804,0.832676112651825,0.00140566925983876,0.0,1.49324631690979,0.2759063243865967,1.2323189973831177,35.69697,28.688272,21.327406,41.833958,18.744286,10.373689,59.19974136352539
896000,0.20607933402061462,0.08075932413339615,0.19158785045146942,0.7282887697219849,0.000849016010761261,0.0,5.559019088745117,1.460167646408081,4.141143321990967,51.87162,41.975994,26.6157,56.09151,35.060745,6.6924944,123.27458190917969
1024000,0.2608485221862793,0.11568811535835266,0.8002625703811646,0.8770918846130371,0.0012242275988683105,0.0,9.95389461517334,3.9790050983428955,5.9809417724609375,60.538662,50.311153,32.803925,70.39781,44.09068,22.262896,299.1907043457031
1152000,0.2735788822174072,0.37008023262023926,0.2994711101055145,0.8678486943244934,0.0021831293124705553,0.0,13.668712615966797,7.434921741485596,6.232911586761475,67.73008,57.184273,38.03681,80.28229,51.701088,380.87784,487.0016174316406
1280000,0.43144312500953674,0.8975308537483215,0.6043978929519653,1.0651205778121948,0.004184323363006115,0.0,18.050521850585938,13.346050262451172,5.081307888031006,73.66204,63.27548,42.763218,89.9685,59.200596,573.0499,595.4807739257812
1408000,0.541054368019104,1.462833285331726,0.9149888753890991,1.192301630973816,0.007870308123528957,0.0,22.601455688476562,18.280990600585938,4.782812118530273,78.83241,69.27726,47.2028,98.54049,66.83015,584.5892,613.540771484375
1536000,0.5010713338851929,0.8548418879508972,2.1579644680023193,1.0740349292755127,0.0042581707239151,0.0,29.4117374420166,21.519153594970703,7.88254976272583,83.30911,74.91163,51.16027,105.861374,74.469124,626.38165,638.9435424804688
1664000,3.1389241218566895,2.4985148906707764,0.8829952478408813,1.5414634943008423,0.006350605748593807,0.0,33.134300231933594,24.78821563720703,8.376873016357422,86.86513,79.90239,54.33174,112.661766,82.36707,726.5507,715.6277465820312
1792000,1.1542989015579224,1.3840526342391968,1.167197346687317,1.4417375326156616,0.006034599617123604,0.0,36.48406982421875,26.51237678527832,9.99758243560791,90.17379,84.44345,57.60889,118.73454,90.525475,681.8805,749.3828125
1920000,0.6601094603538513,1.5716538429260254,1.1859097480773926,1.2799317836761475,0.008948068134486675,0.0,40.15862274169922,28.531295776367188,11.566795349121094,93.12774,88.727745,60.317146,124.16215,99.37517,744.6396,703.8179931640625
2048000,5.23807430267334,4.339723587036133,1.2543816566467285,1.4696650505065918,0.011401420459151268,0.0,43.31330871582031,29.87487030029297,13.360779762268066,95.98069,92.77913,62.97453,129.46577,108.34528,768.467,701.3982543945312
2176000,2.8523154258728027,3.4710848331451416,1.0363292694091797,1.5713403224945068,0.011504702270030975,0.0,45.56974792480469,28.890594482421875,16.74979019165039,98.68445,96.572075,65.23112,134.52516,118.40823,815.52655,730.8841552734375
2304000,8.948803901672363,6.7950921058654785,0.76724773645401,1.7409080266952515,0.0061513567343354225,0.0,47.45294189453125,30.138898849487305,17.272262573242188,101.290474,100.248474,67.274765,139.17094,128.96727,798.6264,733.8240966796875
2432000,0.6799441576004028,1.2231402397155762,0.7353333234786987,1.3230458498001099,0.010682497173547745,0.0,50.054264068603516,31.621044158935547,18.53633689880371,103.64218,103.7717,69.2286,143.22786,139.75824,818.2195,759.1168212890625
2560000,4.172666549682617,3.3577780723571777,1.2862424850463867,1.5098140239715576,0.01635146327316761,0.0,51.46385955810547,31.14263916015625,20.281646728515625,105.92131,107.127144,71.11023,147.09984,150.7148,814.2248,805.5067138671875
2688000,5.522732257843018,4.434149265289307,2.361144542694092,1.6533337831497192,0.017283469438552856,0.0,52.17772674560547,31.68874740600586,20.46208381652832,108.297646,110.43169,72.81764,151.02022,162.03612,828.0626,765.83251953125
2816000,0.9406881332397461,2.1723921298980713,0.9126551747322083,1.6818795204162598,0.007825749926269054,0.0,53.88591003417969,31.829544067382812,21.96272087097168,110.70949,113.58965,74.44667,154.57452,173.34879,849.2477,778.3348388671875
2944000,2.8195457458496094,2.8548331260681152,1.7689082622528076,1.5541785955429077,0.01151936687529087,0.0,53.66143035888672,31.923908233642578,21.788715362548828,113.229515,116.605095,76.022964,158.26509,184.99033,841.65137,766.7598266601562
3072000,4.7073655128479,4.6219072341918945,0.7313169836997986,1.6538755893707275,0.008792148903012276,0.0,57.65406036376953,35.52088928222656,22.110857009887695,115.492,119.56547,77.660385,161.8281,196.62813,843.95746,808.6978149414062
3200000,5.057529449462891,4.2120819091796875,0.8670028448104858,1.7139712572097778,0.014666405506432056,0.0,57.4616584777832,34.69186782836914,22.68734359741211,117.77675,122.42515,79.02995,165.15617,208.01038,854.21954,810.7996215820312
3328000,6.843774795532227,4.964832305908203,1.3046059608459473,1.5999107360839844,0.014380740001797676,0.0,60.556541442871094,36.84562683105469,23.668241500854492,119.77212,125.23011,80.38532,168.148,219.16403,863.7011,813.708251953125
3456000,0.4216882884502411,1.137134075164795,0.9294841289520264,1.4331868886947632,0.007249042391777039,0.0,60.57997512817383,35.9141731262207,24.61355209350586,121.83425,127.92445,81.76676,171.57947,230.37283,852.92804,786.9655151367188
3584000,3.4163849353790283,2.955976963043213,0.7080657482147217,1.6432409286499023,0.0066134994849562645,0.0,59.17864990234375,35.134315490722656,23.946678161621094,123.851105,130.68658,83.10511,174.49428,242.10054,871.2752,780.9732666015625
3712000,5.710019111633301,4.148584842681885,1.8840274810791016,1.8186789751052856,0.01054304651916027,0.0,63.05797576904297,37.91189193725586,25.12194061279297,125.86369,133.40945,84.3507,177.36656,252.96997,857.16113,793.9281005859375
3840000,0.3922535181045532,1.1981184482574463,3.7292582988739014,1.3910976648330688,0.007966945879161358,0.0,61.06182861328125,36.37166976928711,24.618484497070312,127.58752,136.04195,85.44255,180.03156,263.6058,897.216,789.1828002929688
3968000,0.5318868160247803,1.4034353494644165,0.9529995322227478,1.4670953750610352,0.009343530982732773,0.0,62.902626037597656,37.874969482421875,25.032054901123047,129.39792,138.65555,86.57923,182.80229,273.64453,879.4956,822.5753784179688
4096000,10.140453338623047,7.5568766593933105,1.0934115648269653,1.8499760627746582,0.019383590668439865,0.0,66.4269027709961,40.437034606933594,25.828760147094727,131.15332,141.24182,87.52213,185.63339,283.3415,887.2272,830.6343383789062
4224000,3.3316879272460938,3.3173933029174805,1.0412280559539795,1.5635597705841064,0.01472035888582468,0.0,66.78414916992188,41.41130065917969,25.3602294921875,132.91025,143.8824,88.42996,188.27357,292.9594,903.2422,836.8618774414062
4352000,8.29973030090332,6.226865768432617,1.2140998840332031,1.9805055856704712,0.012321177870035172,0.0,68.11532592773438,40.85200500488281,27.313945770263672,134.53943,146.52565,89.30514,190.58614,301.97043,893.7311,840.926513671875
