Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/rep_weight,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0005685319192707539,-0.6511760950088501,0.006564882583916187,0.004366963170468807,0.002711434615775943,0.0005285631632432342,0.14858703315258026,1.4081567525863647,0.0016055161831900477,-2.135824203491211,0.6503587365150452,0.6508980989456177,26.453327,35.97482,30.903513,31.191605,30.945509,0.0013432096457108855,0.930473804473877,0.005038552451878786,0.9111329317092896,0.0,0.003169482806697488,0.0,0.004735794849693775,0.000974490714725107,0.9108895659446716,0.004603174515068531,0.008391665294766426,0.43962591886520386
264192,0.0010336717823520303,-0.191254660487175,5.532789509743452e-05,0.007134240586310625,0.005981875583529472,0.0003853906237054616,0.13446226716041565,1.3217568397521973,0.00019595280173234642,1.5592975616455078,0.1913200169801712,0.1905691921710968,35.19769,47.44583,33.344936,32.341717,32.225388,0.0012942126486450434,0.9433863162994385,0.004332668147981167,0.9327479600906372,0.0,0.0034107831306755543,0.0,0.0051165129989385605,0.0008698506280779839,0.9262059926986694,0.003831429872661829,0.010111326351761818,0.7064099311828613
392192,0.00095114775467664,-0.0912802666425705,1.4784492122998927e-05,0.03069717437028885,0.012698735110461712,0.0009128359379246831,0.12135600298643112,1.2353568077087402,0.00011084592551924288,1.804372787475586,0.09146638214588165,0.09259172528982162,40.123688,55.83992,37.35324,35.608845,35.567047,0.002000699518248439,0.9697614908218384,0.00127039710059762,0.9610236883163452,0.0,0.005218328908085823,0.0,0.007915236987173557,0.001757394871674478,0.958821177482605,0.0020983070135116577,0.01018484029918909,0.7259615659713745
520192,0.0009490172378718853,-0.050953686237335205,0.00011312769493088126,0.014490901492536068,0.006815270055085421,0.00031752008362673223,0.11579890549182892,1.1489567756652832,0.0001071976003004238,0.9219937920570374,0.04639303684234619,0.05228413641452789,44.532455,61.846725,40.861115,38.2226,38.40426,0.0009408352780155838,0.9629616737365723,0.002755114808678627,0.9532479643821716,0.0,0.004810739308595657,0.0,0.005958171095699072,0.0011862367391586304,0.9491591453552246,0.0021206610836088657,0.008603452704846859,5.973443031311035
648192,0.005979263689368963,-0.670295000076294,0.00047697871923446655,0.02473050355911255,0.013954738155007362,0.0004251740174368024,0.10662822425365448,1.0625567436218262,0.0011338115436956286,1.6658021211624146,0.6368976831436157,0.6478615999221802,51.581284,68.00406,44.872593,40.964573,42.29992,0.0028037959709763527,0.9837981462478638,0.0031906641088426113,0.9761947989463806,0.0,0.004660039208829403,0.0,0.0064286659471690655,0.001139935222454369,0.9809211492538452,0.0026980461552739143,0.011065281927585602,17.728267669677734
776192,0.011879213154315948,-1.3128122091293335,-0.00033427117159590125,0.06389191746711731,0.03414417803287506,0.000578489969484508,0.09129142761230469,0.9761568903923035,0.001392803736962378,2.376298189163208,1.2949860095977783,1.2860631942749023,59.002953,73.53845,48.98024,43.917416,45.591225,0.0004934986354783177,1.0440932512283325,0.005291477777063847,1.0620520114898682,0.0,0.007469970732927322,0.0,0.008690501563251019,0.0015185305383056402,1.0574052333831787,0.004004030954092741,0.012242657132446766,52.24525451660156
904192,0.005943715572357178,-1.791919469833374,-0.00041478322236798704,0.08799047768115997,0.049771007150411606,0.0006005098111927509,0.08432313799858093,0.8897568583488464,0.000883327447809279,2.4925947189331055,1.761061191558838,1.7543705701828003,65.09236,79.22294,52.650253,46.778023,48.902122,0.0015188852557912469,1.076645016670227,0.0021799057722091675,1.1031920909881592,0.0,0.007357354741543531,0.0,0.009482933208346367,0.0004201894626021385,1.0995959043502808,0.0019635846838355064,0.012442126870155334,42.520870208740234
1032192,0.0038886484690010548,-2.1161282062530518,0.000653980765491724,0.11112344264984131,0.07054116576910019,0.00038871343713253736,0.07986906170845032,0.8033568263053894,0.0009676694753579795,1.3222553730010986,2.089350938796997,2.090362787246704,70.97804,84.5292,55.990456,49.78272,52.04856,0.0033642067573964596,1.1288875341415405,0.0026600866112858057,1.1658596992492676,0.0,0.005451350472867489,0.0,0.009569630026817322,0.0018849963089451194,1.1548715829849243,0.0024707731790840626,0.014404683373868465,55.02539825439453
1160192,0.0079587921500206,-2.578165054321289,0.00037125463131815195,0.13775478303432465,0.08291629701852798,0.001538743730634451,0.07354915142059326,0.7169567942619324,0.0015112563269212842,1.7708804607391357,2.543949604034424,2.5393638610839844,76.04425,89.441635,59.08246,52.670578,55.130314,0.0022628605365753174,1.1511244773864746,0.002200671937316656,1.193171501159668,0.0,0.0068682716228067875,0.0,0.01310698315501213,0.0007682361174374819,1.1923882961273193,0.0018185442313551903,0.015546320006251335,60.72874450683594
1288192,0.024535205215215683,-2.8012967109680176,0.0001620065449969843,0.1602773219347,0.09390228241682053,0.0005460735410451889,0.0694349929690361,0.6305568218231201,0.001340076676569879,1.9009596109390259,2.773730516433716,2.7667951583862305,80.27951,93.9139,62.198807,55.654114,58.03127,0.0016440532635897398,1.15972900390625,0.0030285371467471123,1.2319635152816772,0.0,0.007187293376773596,0.0,0.01169082522392273,0.0009567317320033908,1.2204556465148926,0.0032728593796491623,0.015924405306577682,57.642059326171875
