Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/rep_weight,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0025949841365218163,-0.6581616401672363,0.0056718685664236546,0.015884416177868843,0.009615452960133553,0.0005253696581348777,0.006948699709028006,1.4081567525863647,0.0016950976569205523,-1.339956283569336,0.6588865518569946,0.6552869081497192,27.89969,36.356045,31.078295,31.153517,31.140495,0.005403402727097273,0.9471408128738403,0.012151828035712242,0.9201289415359497,0.0,0.010646901093423367,0.0,0.008682971820235252,0.0038075107149779797,0.9195565581321716,0.009637109935283661,0.010064767673611641,0.7197474241256714
264192,0.0006053056567907333,-0.1995518058538437,9.870593203231692e-05,0.01306395698338747,0.010595527477562428,0.0004884327645413578,0.00638494361191988,1.3217568397521973,0.00014824395475443453,1.1964796781539917,0.2005378007888794,0.19849681854248047,37.600018,46.9824,33.21313,34.72667,32.966835,0.0019681211560964584,0.9367074966430664,0.007534961216151714,0.9097165465354919,0.0,0.008048593997955322,0.0,0.007501470856368542,0.001340832794085145,0.9041910171508789,0.00653418991714716,0.011543046683073044,0.5269428491592407
392192,0.0009668468846939504,-0.10067155212163925,-1.3145948287274223e-05,0.03747396543622017,0.01983541250228882,0.001475356868468225,0.0059194802306592464,1.2353568077087402,0.00010097603808389977,2.1359431743621826,0.10077177733182907,0.10295827686786652,43.84727,54.3639,36.61855,39.390068,35.978783,0.0018960084998980165,0.9642205834388733,0.002575842197984457,0.9620760083198547,0.0,0.009655064903199673,0.0,0.01292514894157648,0.0006833466468378901,0.9552836418151855,0.0025088321417570114,0.01274555828422308,0.7935285568237305
520192,0.002191178733482957,-0.0396624431014061,4.4263309973757714e-05,0.019156789407134056,0.008735990151762962,0.00038861771463416517,0.0033526758197695017,1.1489567756652832,8.100825652945787e-05,1.4853514432907104,0.04088815301656723,0.03940977901220322,49.484512,59.990013,40.157715,44.44602,39.36698,0.001511129317805171,0.9494218826293945,0.00154197309166193,0.9424548149108887,0.0,0.009961974807083607,0.0,0.008311129175126553,0.0009050957160070539,0.9362924695014954,0.0012640146305784583,0.01051329355686903,0.39900732040405273
648192,0.00011724304931703955,-0.018969863653182983,-4.416146839503199e-05,0.009960194118320942,0.006009620148688555,0.00028325029416009784,0.005713189020752907,1.0625567436218262,8.807899575913325e-05,2.508042335510254,0.019776802510023117,0.019468694925308228,53.82458,64.536674,43.774864,49.601074,42.50075,0.0008958694525063038,0.9286693334579468,0.004747309722006321,0.9090466499328613,0.0,0.007339087780565023,0.0,0.007350498344749212,0.0013608004665002227,0.9127933979034424,0.0037841899320483208,0.00941208191215992,1.040367841720581
776192,0.005909300409257412,-0.028073931112885475,-3.573305002646521e-05,0.03647223487496376,0.017600983381271362,0.0006122401100583375,0.004509205464273691,0.9761568903923035,8.369953866349533e-05,2.517277479171753,0.0255880206823349,0.02291935123503208,57.872734,68.478355,47.300518,54.957848,45.793015,0.0016225813888013363,0.9589317440986633,0.0017552463104948401,0.9449811577796936,0.0,0.009125275537371635,0.0,0.008936511352658272,0.0009944476187229156,0.9485869407653809,0.00171477731782943,0.010111936368048191,1.275660514831543
904192,0.0018850890919566154,-0.030647821724414825,-2.3245642296387814e-05,0.029548585414886475,0.012745884247124195,0.0004892020369879901,0.005223709624260664,0.8897568583488464,8.246699871961027e-05,2.2185964584350586,0.031091859564185143,0.031218666583299637,61.605553,72.07718,50.628433,60.40251,48.92721,0.0012786849401891232,0.9526989459991455,0.004248135723173618,0.9348536133766174,0.0,0.008561323396861553,0.0,0.007756694685667753,0.00046778388787060976,0.9303025603294373,0.0038906377740204334,0.009144896641373634,1.0321617126464844
1032192,3.0163679184624925e-05,3.0158553272485733e-06,8.934151992434636e-06,0.011015879921615124,0.010624864138662815,0.00033349066507071257,0.009717369452118874,0.8033568263053894,7.288806955330074e-05,1.761925220489502,0.00011709739919751883,0.0010738919954746962,65.21591,75.1478,54.08665,65.43512,52.43945,0.0010290872305631638,0.9171582460403442,0.002935860538855195,0.9019589424133301,0.0,0.009706491604447365,0.0,0.006080645602196455,0.0013791713863611221,0.9026283025741577,0.0024888222105801105,0.008762771263718605,0.781749963760376
1160192,0.0005634998087771237,-0.018829558044672012,-3.3593700209166855e-05,0.021376824006438255,0.014542440883815289,0.00037988656549714506,0.0070173959247767925,0.7169567942619324,7.368355727521703e-05,2.548586368560791,0.01953071914613247,0.019336048513650894,68.56341,78.21494,57.237137,70.394035,55.245388,0.0015365907456725836,0.9393827319145203,0.0014698953600600362,0.9247242212295532,0.0,0.006484445184469223,0.0,0.0060540433041751385,0.0018362189875915647,0.9256769418716431,0.0017155015375465155,0.010195068083703518,1.2164397239685059
1288192,0.001973144942894578,-0.014082727953791618,1.556497227284126e-05,0.03489448502659798,0.011465375311672688,0.0011216590646654367,0.005126124247908592,0.6305568218231201,7.889705011621118e-05,1.9150534868240356,0.015482276678085327,0.014610270038247108,71.69285,81.06816,60.857124,75.034935,58.438725,0.0011318093165755272,0.9460228681564331,0.002206462901085615,0.9289637804031372,0.0,0.007743569556623697,0.0,0.006040896754711866,0.0022183405235409737,0.9298384785652161,0.0025813141837716103,0.010576380416750908,1.2858078479766846
