Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/source_action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/actor_e2_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Eval/Return,Eval/Return_e2
641000,0.49225783348083496,-8.672636985778809,-0.013233753852546215,0.10636278241872787,0.08135668933391571,0.051771607249975204,0.31506475806236267,0.002433644374832511,26.437833786010742,8.13265323638916,8.13638973236084,40.000763,60.850006,58.07977,28.458683,60.134277,59.57531,115.625,115.8987
642000,2.082932472229004,-22.138925552368164,-0.0003055358538404107,0.0976945087313652,0.011013687588274479,0.011334790848195553,0.31493785977363586,0.0036799628287553787,21.083026885986328,21.434219360351562,21.466903686523438,68.3759,76.045425,70.61611,28.466011,71.23151,71.23104,234.21378,127.624855
643000,0.4446817636489868,-25.258548736572266,-0.00042935178498737514,0.04964662343263626,0.07730119675397873,0.029522355645895004,0.30942991375923157,0.0021294080652296543,21.201629638671875,24.894031524658203,24.85930633544922,91.67203,85.975586,82.360016,28.434547,81.7975,81.87599,331.0222,203.54765
644000,0.6029732823371887,-32.221534729003906,0.0022283026482909918,0.07747698575258255,0.2103191763162613,0.029547207057476044,0.3036786913871765,0.0032849579583853483,20.321664810180664,31.657434463500977,31.657669067382812,105.934364,95.06931,92.789276,28.375484,91.43008,91.57277,309.57245,146.41206
