Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/rep_weight,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0003348259488120675,-0.6537421941757202,0.006529121194034815,0.0038428970146924257,0.002768788719549775,0.0004846272349823266,0.005199612583965063,1.4081567525863647,0.0015995246358215809,-2.1425681114196777,0.6515283584594727,0.6523400545120239,26.138018,35.446056,30.929413,31.160498,30.935457,0.0006653832970187068,0.9337921738624573,0.001975682331249118,0.8995654582977295,0.0,0.002915089251473546,0.0,0.0050497232005000114,0.002425337443128228,0.9080346822738647,0.0024642085190862417,0.010392033495008945,0.2842503488063812
264192,0.000461433082818985,-0.19743096828460693,-0.00017309859686065465,0.009615685790777206,0.005096915643662214,0.00038114149356260896,0.0006454659160226583,1.3217568397521973,0.00016063086513895541,2.9349632263183594,0.19618234038352966,0.19473497569561005,34.141308,46.321285,33.09592,32.530853,32.395485,0.0011478831293061376,0.9240685701370239,0.001934115425683558,0.909368634223938,0.0,0.006362317129969597,0.0,0.005449314601719379,0.0035835993476212025,0.9107744693756104,0.004570702090859413,0.007056059315800667,0.5812950730323792
392192,0.0006161279743537307,-0.08842561393976212,6.776367808924988e-05,0.018412694334983826,0.009449940174818039,0.0008679769234731793,0.0014363178052008152,1.2353568077087402,0.00021464304882101715,1.7447258234024048,0.08541364967823029,0.08149270713329315,40.32568,56.731464,36.910816,35.633183,35.836514,0.015048136003315449,0.9451726675033569,0.0038263369351625443,0.9442533850669861,0.0,0.006524951197206974,0.0,0.007364525459706783,0.0017466888530179858,0.937416672706604,0.0030466075986623764,0.014496173709630966,0.7727043628692627
520192,0.0036065217573195696,-0.02667156048119068,-0.0001511678856331855,0.009266078472137451,0.004633045755326748,0.001595152192749083,0.0003854036331176758,1.1489567756652832,0.00021566383657045662,2.5698318481445312,0.028527574613690376,0.027731239795684814,45.388264,62.1949,41.10825,39.58896,40.636593,0.012269939295947552,0.9439668655395508,0.00534859299659729,0.930490255355835,0.0,0.004786841571331024,0.0,0.006321846507489681,0.004138120915740728,0.9212612509727478,0.004435328766703606,0.011616187170147896,0.5253240466117859
648192,0.004124443978071213,-0.18888413906097412,0.0009026313200592995,0.0036478328984230757,0.002502129413187504,0.0002077778772218153,0.004661837592720985,1.0625567436218262,0.0012990686809644103,1.4406263828277588,0.15848082304000854,0.16097712516784668,50.878315,66.99834,44.87522,42.37831,45.101368,0.0024212836287915707,0.9513719081878662,0.0028499597683548927,0.934962809085846,0.0,0.0041675386019051075,0.0,0.005712096579372883,0.0022513726726174355,0.9318519234657288,0.0035903239622712135,0.006544305942952633,0.6856806874275208
776192,0.00364957214333117,-0.4914863705635071,-0.00018174188153352588,0.020264452323317528,0.006937806494534016,0.000541787885595113,0.002823128830641508,0.9761568903923035,0.0010767696658149362,2.2576351165771484,0.47552290558815,0.4778609275817871,57.55807,71.70056,48.975235,45.660694,49.3136,0.0084892138838768,0.9600849151611328,0.001404958893544972,0.9456667900085449,0.0,0.005321263335645199,0.0,0.0070703644305467606,0.004076208453625441,0.9463009834289551,0.0037721628323197365,0.007649233564734459,25.268606185913086
904192,0.008360831066966057,-1.1373553276062012,1.0996678611263633e-05,0.035973601043224335,0.022707033902406693,0.0010766987688839436,0.0032879365608096123,0.8897568583488464,0.0012833727523684502,1.9414876699447632,1.108046293258667,1.1105115413665771,63.386623,76.080826,52.73805,49.19165,53.544323,0.003975013270974159,1.0285664796829224,0.002570435171946883,1.0370709896087646,0.0,0.005884665064513683,0.0,0.008647329173982143,0.006244121119379997,1.0286858081817627,0.0055199479684233665,0.015361356548964977,30.294946670532227
1032192,0.004488290287554264,-1.4204615354537964,0.0005253577255643904,0.04748379811644554,0.030790239572525024,0.000424488156568259,0.00290202465839684,0.8033568263053894,0.0012102676555514336,1.4580485820770264,1.3965938091278076,1.3901783227920532,69.14343,80.33399,56.461998,52.637695,57.41488,0.0057645533233881,1.0607374906539917,0.004900546744465828,1.090578317642212,0.0,0.006991674192249775,0.0,0.010908045805990696,0.004354031290858984,1.080488920211792,0.0077175660990178585,0.01514617633074522,37.31739044189453
1160192,0.0044823335483670235,-1.7655839920043945,0.0004174746572971344,0.033555615693330765,0.01898995228111744,0.00041068956488743424,0.005256885662674904,0.7169567942619324,0.0011722242925316095,1.7609690427780151,1.730832576751709,1.7425551414489746,74.99978,84.448875,60.08544,56.717045,61.328144,0.00674802390858531,1.0228468179702759,0.002413182519376278,1.033294439315796,0.0,0.0063678789883852005,0.0,0.008244480937719345,0.0013673491775989532,1.0360541343688965,0.0020837332122027874,0.010207906365394592,43.90912628173828
1288192,0.0050870212726294994,-1.9672670364379883,5.4055446526035666e-05,0.05868258327245712,0.03542366623878479,0.0007405220530927181,0.006373962853103876,0.6305568218231201,0.001193229341879487,1.7720954418182373,1.9363267421722412,1.9340794086456299,80.15175,88.27654,63.738064,60.31733,64.82492,0.00342000019736588,1.0800912380218506,0.003055006731301546,1.0930378437042236,0.0,0.006806645542383194,0.0,0.008331157267093658,0.002021244028583169,1.0958521366119385,0.003683554008603096,0.011903924867510796,39.97697067260742
1416192,0.005254701245576143,-2.0053415298461914,0.0006951912073418498,0.061231691390275955,0.037721630185842514,0.0003002024895977229,0.007437434513121843,0.5441567897796631,0.0011909430613741279,1.415013313293457,1.9841104745864868,1.9886620044708252,85.029816,91.90008,67.13266,64.19344,68.630226,0.0025464321952313185,1.1059470176696777,0.0034120450727641582,1.1388438940048218,0.0,0.005879576783627272,0.0,0.008633043617010117,0.0010152468457818031,1.1367183923721313,0.002887966576963663,0.0108249606564641,39.94770050048828
1544192,0.007108996622264385,-2.413419723510742,1.0437142918817699e-05,0.08072905987501144,0.05257624387741089,0.0004832038830500096,0.008125297725200653,0.45775678753852844,0.0011017274810001254,1.9176830053329468,2.391399383544922,2.394848346710205,89.545395,95.37462,70.72612,68.03484,72.233284,0.004398914985358715,1.155003547668457,0.0033052125945687294,1.1930639743804932,0.0,0.006936904974281788,0.0,0.009513805620372295,0.0015886120963841677,1.1957710981369019,0.0040913843549788,0.013654787093400955,43.12245559692383
1672192,0.0051942188292741776,-2.7706356048583984,-0.0004962383536621928,0.11389968544244766,0.07231342792510986,0.00035500680678524077,0.009159932844340801,0.3713568449020386,0.001062504481524229,2.5791168212890625,2.7406015396118164,2.747161388397217,93.58749,98.74154,73.907715,71.75791,75.61423,0.0023397940676659346,1.2035601139068604,0.006154433358460665,1.2496707439422607,0.0,0.006998114287853241,0.0,0.010867515578866005,0.0008145983447320759,1.252100944519043,0.006060448940843344,0.011994663625955582,50.761619567871094
1800192,0.004413817543536425,-2.551150321960449,-0.00010603083501337096,0.08956821262836456,0.06154404580593109,0.00032002487569116056,0.007785588502883911,0.28495681285858154,0.0010707540204748511,2.1062939167022705,2.5332701206207275,2.5243754386901855,97.21309,101.9001,77.03537,75.35351,78.77656,0.001309759565629065,1.1576683521270752,0.0018278401112183928,1.1991064548492432,0.0,0.006802838295698166,0.0,0.009222635999321938,0.0006910280790179968,1.2063732147216797,0.0017706503858789802,0.012498278170824051,48.41318130493164
