Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return,Eval/Return_std
136192,0.529887855052948,0.6299488544464111,0.0029935860075056553,1.3401882648468018,1.4138951301574707,0.8277601599693298,0.0030878311954438686,0.0014924792340025306,-1.022634506225586,-0.08637715876102448,-0.15273770689964294,22.803299,45.258568,32.00303,32.13888,32.034157,1.0752625465393066,1.3067700862884521,0.69240403175354,0.9042541980743408,0.0,0.3728576898574829,0.0,0.31129756569862366,0.9428075551986694,0.9410001039505005,0.3658466339111328,0.30399593710899353,0.015625,0.17608480155467987
264192,0.5233765840530396,0.6326231956481934,0.0001110124503611587,1.3062862157821655,1.3599193096160889,0.814784824848175,0.002759265946224332,5.321408752934076e-05,-1.087497591972351,-0.06929315626621246,-0.12903538346290588,22.803299,45.258568,32.00303,32.13888,32.034157,1.0702931880950928,1.2538738250732422,0.696864128112793,0.9021387100219727,0.0,0.29790735244750977,0.0,0.3064725995063782,0.9534966349601746,0.9681159257888794,0.3620564341545105,0.2986590564250946,0.0,0.0
392192,0.6294177770614624,0.7288013100624084,3.960049070883542e-06,1.3520283699035645,1.425347924232483,0.8030039072036743,0.002293861238285899,1.9223421077185776e-06,-1.0328950881958008,-0.05851646512746811,-0.2960209846496582,22.803299,45.258568,32.00303,32.13888,32.034157,1.0933046340942383,1.2922017574310303,0.7017501592636108,0.9091472625732422,0.0,0.34685489535331726,0.0,0.3224071264266968,0.9497249126434326,0.9524787664413452,0.381552129983902,0.2981046438217163,0.015625,0.17608480155467987
520192,0.6125705242156982,0.7177460193634033,1.4605839737669157e-07,1.3624751567840576,1.4034430980682373,0.8536257743835449,0.002123153069987893,7.062327256335266e-08,-1.0274403095245361,-0.03745453804731369,-0.1923433542251587,22.803299,45.258568,32.00303,32.13888,32.034157,1.0841797590255737,1.306618332862854,0.6900840401649475,0.8879199028015137,0.0,0.3423861265182495,0.0,0.30758678913116455,0.9722977876663208,0.9713200926780701,0.3912849724292755,0.2954672574996948,0.015625,0.17608480155467987
648192,0.5622346997261047,0.711732804775238,6.903145166603508e-09,1.328795075416565,1.4162275791168213,0.8154863119125366,0.0028200813103467226,3.5675749021635283e-09,-0.999941349029541,-0.17154331505298615,-0.21303406357765198,22.803299,45.258568,32.00303,32.13888,32.034157,1.096858024597168,1.2997679710388184,0.6837427616119385,0.8799118995666504,0.0,0.3369855284690857,0.0,0.2907654643058777,0.9592385292053223,0.9625580310821533,0.3986801505088806,0.30388695001602173,0.0,0.0
776192,0.5991199016571045,0.6636560559272766,1.4845888962611298e-09,1.3261494636535645,1.4060957431793213,0.8161457180976868,0.002427105326205492,7.102602950226355e-10,-1.080530047416687,-0.007422253489494324,-0.20840319991111755,22.803299,45.258568,32.00303,32.13888,32.034157,1.0800471305847168,1.27499520778656,0.6816275119781494,0.8967491388320923,0.0,0.311886727809906,0.0,0.3121696412563324,0.9558826684951782,0.9683480262756348,0.3805347979068756,0.3059670031070709,0.015625,0.17608480155467987
904192,0.5938242077827454,0.6668051481246948,7.122687994964849e-10,1.3349547386169434,1.4033358097076416,0.8027431964874268,0.0023404911626130342,3.4685310179582984e-10,-1.0671932697296143,-0.041819460690021515,-0.1760353147983551,22.803299,45.258568,32.00303,32.13888,32.034157,1.086582899093628,1.2919154167175293,0.695046067237854,0.910387396812439,0.0,0.3345594108104706,0.0,0.3161507248878479,0.9463244676589966,0.9619935154914856,0.37108784914016724,0.29695069789886475,0.0234375,0.19624775648117065
1032192,0.563302755355835,0.6020426750183105,4.596074909546388e-10,1.314651370048523,1.4171040058135986,0.8215523958206177,0.0023177959956228733,2.2578988678745304e-10,-1.041224479675293,-0.03525108844041824,-0.11937914043664932,22.803299,45.258568,32.00303,32.13888,32.034157,1.0917248725891113,1.3007514476776123,0.6832493543624878,0.9092955589294434,0.0,0.33483657240867615,0.0,0.31486308574676514,0.9603312611579895,0.9598333835601807,0.39279115200042725,0.29865971207618713,0.0,0.0
1160192,0.5383824706077576,0.5746501088142395,3.446878060753278e-10,1.3179285526275635,1.3935308456420898,0.8014665842056274,0.0024985941126942635,1.6655277157440196e-10,-1.058758020401001,-0.015067478641867638,-0.06126714497804642,22.803299,45.258568,32.00303,32.13888,32.034157,1.0846261978149414,1.2873517274856567,0.6970005631446838,0.9094302654266357,0.0,0.32976019382476807,0.0,0.3167850375175476,0.9578387141227722,0.9630692601203918,0.3778347074985504,0.30165988206863403,0.0390625,0.3162856698036194
1288192,0.6014866828918457,0.5730779767036438,2.7460808627033373e-10,1.2927775382995605,1.3994832038879395,0.8170651197433472,0.002069998299703002,1.316812214824381e-10,-1.0146663188934326,0.053526297211647034,-0.09311798959970474,22.803299,45.258568,32.00303,32.13888,32.034157,1.0789273977279663,1.2704041004180908,0.7037712931632996,0.9065392017364502,0.0,0.3217032253742218,0.0,0.32330605387687683,0.949665904045105,0.9460256099700928,0.37774187326431274,0.3089452385902405,0.03125,0.27775606513023376
1416192,0.6134178042411804,0.6782606244087219,2.2328389137626914e-10,1.360073447227478,1.4307522773742676,0.7957839965820312,0.002449554856866598,1.0872704125919341e-10,-1.0558364391326904,-0.04898424819111824,-0.19022870063781738,22.803299,45.258568,32.00303,32.13888,32.034157,1.1000933647155762,1.3063671588897705,0.6925575733184814,0.8920714855194092,0.0,0.3539235591888428,0.0,0.30539795756340027,0.9575563669204712,0.9707852005958557,0.3806028366088867,0.29509618878364563,0.0,0.0
