Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.00411483459174633,-2.155989646911621,0.7581821084022522,0.0005362245719879866,0.005203031003475189,0.0444558709859848,6.055154800415039,8.883170085027814e-05,0.07536408305168152,-4.060257911682129,1.8357038497924805,1.834435224533081,28.061049,39.51828,27.273697,27.601357,27.461054,37.045563,1.6367515,1.7127926
12000,0.0014714791905134916,-3.259190082550049,0.5889453291893005,0.00041072285966947675,0.008428480476140976,0.032901305705308914,5.570411205291748,0.00011876702046720311,0.05834544822573662,-4.094109535217285,3.005218267440796,3.006044387817383,28.005587,39.547546,27.146833,27.643318,27.406122,37.47106,3.058459,1.9433485
13000,0.0015422496944665909,-3.9981889724731445,0.4618638753890991,0.005332352593541145,0.01199200190603733,0.03643504157662392,5.695433616638184,0.00013025602675043046,0.04585156589746475,-4.073022842407227,3.825942039489746,3.81842041015625,27.992146,39.51603,27.056372,27.666956,27.380636,37.74241,3.1095157,2.1619897
14000,0.00167691963724792,-4.557326316833496,0.36610373854637146,0.0051580267027020454,0.012638612650334835,0.025603359565138817,5.492814064025879,0.00016308894555550069,0.036333974450826645,-4.076071739196777,4.411661148071289,4.414426803588867,27.987566,39.475513,26.995844,27.685486,27.351704,38.012108,2.6912847,2.2795563
15000,0.001770839444361627,-4.916424751281738,0.2906966805458069,0.000424175028456375,0.012511027045547962,0.03083351068198681,5.544938564300537,7.064200326567516e-05,0.028924018144607544,-4.050356388092041,4.792349815368652,4.790902137756348,27.993717,39.43483,26.94904,27.68652,27.310604,38.20323,2.982414,2.4219592
16000,0.004176421090960503,-5.090005874633789,0.23179389536380768,0.0005765625392086804,0.01201593317091465,0.036854058504104614,5.521360874176025,5.357225381885655e-05,0.023080535233020782,-4.042830467224121,5.02310037612915,5.01515007019043,27.999346,39.392536,26.898521,27.700695,27.261723,38.376293,3.5433319,0.8295997
17000,0.0026772567071020603,-5.271517753601074,0.18432475626468658,0.0006821545539423823,0.01303437165915966,0.04167627543210983,5.434075832366943,5.354743552743457e-05,0.018444789573550224,-3.993323802947998,5.163002967834473,5.166255474090576,28.006102,39.34905,26.870972,27.708944,27.205835,38.72158,3.0564826,0.6693567
18000,0.21800671517848969,-5.314394474029541,0.14593636989593506,0.015193235129117966,0.018262218683958054,0.022886987775564194,5.109671115875244,7.612271292600781e-05,0.014754164963960648,-3.8911983966827393,5.27365255355835,5.275174140930176,28.01127,39.323154,26.851213,27.698582,27.15186,38.93175,3.3098817,0.5757813
19000,0.004122369457036257,-5.309216499328613,0.11588610708713531,0.0005152932135388255,0.020391030237078667,0.03459455817937851,4.931825637817383,0.00017656276759225875,0.011806950904428959,-3.8150744438171387,5.254212379455566,5.262321472167969,28.009295,39.331356,26.852428,27.685595,27.109291,39.163975,4.270276,0.8911455
20000,0.0012973123230040073,-5.229482173919678,0.09366251528263092,0.0008329402189701796,0.024545740336179733,0.04964633285999298,4.944249629974365,0.00024669559206813574,0.009451542980968952,-3.909759521484375,5.18781852722168,5.193171501159668,28.052034,39.331627,26.883657,27.69334,27.081886,39.366295,3.984298,3.9206555
