Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/rep_weight,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0009032426751218736,-0.6632757782936096,0.006347126327455044,0.0035189439076930285,0.002876306651160121,0.00011940272815991193,0.07027355581521988,1.4081567525863647,0.0016004126518964767,-2.0463953018188477,0.6596392393112183,0.6630969047546387,26.087185,35.3307,31.101566,31.207455,31.020815,0.001906463410705328,0.9331883788108826,0.002966807223856449,0.9152218103408813,0.0,0.00510756578296423,0.0,0.007576012052595615,0.0018377986270934343,0.901665449142456,0.0035469108261168003,0.014387661591172218,0.5752073526382446
264192,0.00048480447730980814,-0.19702698290348053,0.0001623648131499067,0.004849222023040056,0.004092003218829632,0.0001651701022638008,0.06755531579256058,1.3217568397521973,0.00011616176198003814,0.5466005802154541,0.19655928015708923,0.1967931091785431,34.52439,46.28798,33.180218,32.323635,32.166176,0.0029189265333116055,0.9335936903953552,0.002175539266318083,0.9313108325004578,0.0,0.003915110602974892,0.0,0.007088404148817062,0.000536496052518487,0.923578143119812,0.001834273338317871,0.014341603964567184,0.7122219800949097
392192,0.013478991575539112,-0.10409010946750641,-0.0002282365458086133,0.04065955802798271,0.009292539209127426,0.0010041010100394487,0.08719515800476074,1.2353568077087402,0.00014232477406039834,3.715649127960205,0.10513293743133545,0.10033084452152252,40.03341,55.243298,36.600986,35.37421,35.232307,0.004712484776973724,0.963657021522522,0.001748506329022348,0.9598617553710938,0.0,0.005733664147555828,0.0,0.02316254936158657,0.0013582531828433275,0.9577383399009705,0.0019203940173611045,0.011060112155973911,0.6034178137779236
520192,0.0007015853188931942,-0.029969707131385803,1.394441096636001e-05,0.005642477422952652,0.0010947478003799915,7.570979505544528e-05,0.05759543180465698,1.1489567756652832,5.789730494143441e-05,1.6485170125961304,0.02711336687207222,0.02544674277305603,44.384686,61.040356,40.12756,38.52369,38.574005,0.0018793137278407812,0.9421356320381165,0.0017270013922825456,0.9272762537002563,0.0,0.0032597221434116364,0.0,0.006109296809881926,0.0005216985591687262,0.9240996241569519,0.00146792596206069,0.005067412741482258,0.6074243783950806
648192,6.272969039855525e-05,-0.007664671633392572,-0.0001454464072594419,0.004752061795443296,0.00277580670081079,0.00021340812963899225,0.0505475252866745,1.0625567436218262,0.00014685888891108334,2.992610216140747,0.008380373939871788,0.009062976576387882,48.734207,65.95926,43.590023,41.432384,42.131615,0.0043175313621759415,0.9350518584251404,0.0009985401993617415,0.9183526635169983,0.0,0.002617286052554846,0.0,0.005674988031387329,0.0021897016558796167,0.916716456413269,0.0021490086801350117,0.005949453916400671,0.8554661273956299
776192,0.0009704424883238971,-0.03872285038232803,-2.1141511751920916e-05,0.019111717119812965,0.010181180201470852,0.0012819897383451462,0.06394360959529877,0.9761568903923035,0.00013137632049620152,2.1812515258789062,0.035262688994407654,0.03305661305785179,52.413963,70.332306,46.708073,44.37481,45.70895,0.004051541443914175,0.9575704336166382,0.004840723238885403,0.9452947974205017,0.0,0.0063543436117470264,0.0,0.015831485390663147,0.0069487132132053375,0.9385245442390442,0.007074020802974701,0.012448654510080814,1.5964152812957764
904192,0.005694495514035225,-0.06143808737397194,-6.911455420777202e-05,0.015394853428006172,0.010660075582563877,0.00030802161199972034,0.06334474682807922,0.8897568583488464,0.000176282599568367,2.4994540214538574,0.06095266342163086,0.06152741611003876,55.89315,74.26208,50.041725,47.503426,49.23206,0.004828250501304865,0.9577811360359192,0.0020066299475729465,0.942187488079071,0.0,0.004830473102629185,0.0,0.011857805773615837,0.0008132248185575008,0.9446510076522827,0.0017130195628851652,0.008949317038059235,1.1486436128616333
1032192,0.0020484700798988342,-0.2185254693031311,0.00041074128239415586,0.01947801746428013,0.015565117821097374,0.0006665391847491264,0.06904806941747665,0.8033568263053894,0.0008969080517999828,1.5276579856872559,0.20673520863056183,0.2075216919183731,60.693592,78.27308,53.92337,51.032112,53.28548,0.0048563797026872635,0.9612321257591248,0.0027519380673766136,0.9546857476234436,0.0,0.004143505357205868,0.0,0.02228177711367607,0.0032530163880437613,0.9474777579307556,0.005092676728963852,0.010735344141721725,5.525269985198975
1160192,0.0032280886080116034,-0.5864964127540588,0.0005711933481507003,0.012697496451437473,0.010216272436082363,0.0003620658244471997,0.06554458290338516,0.7169567942619324,0.0013247663155198097,1.7777364253997803,0.5652133226394653,0.5678112506866455,65.74192,81.924065,57.304867,54.878403,57.219364,0.0039631957188248634,0.9750316143035889,0.002656707540154457,0.958539605140686,0.0,0.004078662488609552,0.0,0.016827527433633804,0.0013778021093457937,0.9613370299339294,0.0018498348072171211,0.007392291910946369,28.381845474243164
1288192,0.003764873603358865,-1.0559196472167969,0.00015567232912871987,0.011722744442522526,0.011165887117385864,0.0007199616520665586,0.08997823297977448,0.6305568218231201,0.0012672493467107415,1.9949376583099365,1.0274221897125244,1.0194385051727295,70.6928,85.738205,61.006546,58.46869,60.778397,0.004821157082915306,0.9908026456832886,0.002473580650985241,0.9815316200256348,0.0,0.00523756630718708,0.0,0.01995944231748581,0.0022063092328608036,0.9775298833847046,0.0030132215470075607,0.010388653725385666,34.34371566772461
