Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Eval/Return
11000,0.003665886353701353,-1.9302754402160645,0.7566067576408386,0.07534899562597275,-4.0413641929626465,1.6308224201202393,1.6328303813934326,27.520159,40.15714,1.6659832
12000,0.0047761243768036366,-2.9504380226135254,0.5873835682868958,0.05834656208753586,-4.0671491622924805,2.715043306350708,2.7172012329101562,27.35365,40.56424,2.7481859
13000,0.006213049869984388,-3.681370973587036,0.4572175145149231,0.045875851064920425,-3.9664101600646973,3.506661891937256,3.5061707496643066,27.246805,40.928516,3.211353
14000,0.006611923221498728,-4.182585716247559,0.3626766800880432,0.036386217921972275,-3.967418670654297,4.049274921417236,4.048716068267822,27.189219,41.250324,3.4721437
15000,0.009127244353294373,-4.51692008972168,0.28612157702445984,0.02900637686252594,-3.8640921115875244,4.421614646911621,4.419164657592773,27.164885,41.505085,3.36591
16000,0.008190788328647614,-4.756793975830078,0.2251497209072113,0.02320154383778572,-3.704083204269409,4.671003818511963,4.668712139129639,27.188013,41.793045,3.1640377
17000,0.0066650789231061935,-4.836392402648926,0.1786484718322754,0.018593426793813705,-3.608151912689209,4.777090549468994,4.778034210205078,27.27254,41.96443,3.4220834
18000,0.0069464207626879215,-4.86119270324707,0.1401512771844864,0.014920737594366074,-3.3930532932281494,4.811847686767578,4.8130717277526855,27.400883,42.099033,3.5433693
19000,0.008555851876735687,-4.833323001861572,0.11147193610668182,0.011984308250248432,-3.301490545272827,4.796409606933594,4.792015552520752,27.598469,42.257374,5.286508
20000,0.09071706235408783,-4.762743949890137,0.08731548488140106,0.00963077787309885,-3.066296339035034,4.736785888671875,4.736350059509277,27.862911,42.375504,5.8052216
21000,0.1381799727678299,-4.667616367340088,0.06839986145496368,0.007749543990939856,-2.826308488845825,4.634731769561768,4.637320518493652,28.191904,42.484715,5.7792544
22000,0.004951692186295986,-4.556408882141113,0.054359160363674164,0.006241684313863516,-2.7090535163879395,4.526097774505615,4.525139808654785,28.580061,42.603573,5.8245454
23000,0.009177202358841896,-4.379360198974609,0.04224000498652458,0.005032076500356197,-2.3941493034362793,4.359734535217285,4.365313529968262,28.99547,42.715927,5.6985116
24000,0.1236041933298111,-4.251030445098877,0.032292455434799194,0.004064871929585934,-1.9442737102508545,4.240833282470703,4.238919734954834,29.4281,42.820072,7.1076865
25000,0.005431249737739563,-4.11870002746582,0.02442021295428276,0.00328628346323967,-1.430951714515686,4.107677936553955,4.1042985916137695,29.92096,42.916332,7.518233
26000,0.004111280664801598,-3.9555671215057373,0.018616873770952225,0.0026599103584885597,-0.9990603923797607,3.941340208053589,3.9456498622894287,30.42576,43.02006,8.49385
27000,0.11809490621089935,-3.8124589920043945,0.014505194500088692,0.0021602108608931303,-0.7147122621536255,3.8072783946990967,3.8056671619415283,30.970932,43.146946,10.58426
28000,0.004195520654320717,-3.688558340072632,0.010924025438725948,0.0017597271362319589,-0.2077949196100235,3.6794376373291016,3.678145408630371,31.52792,43.22803,15.131183
29000,0.00668592844158411,-3.5370137691497803,0.0075451526790857315,0.0014432485913857818,0.7721048593521118,3.529334545135498,3.5269839763641357,32.115704,43.34707,16.737316
30000,0.09783926606178284,-3.4281997680664062,0.00551073020324111,0.0011874432675540447,1.3591632843017578,3.418825626373291,3.4200446605682373,32.67471,43.45869,23.92414
31000,0.003779357997700572,-3.326526165008545,0.0036369157023727894,0.0009859715355560184,2.311337947845459,3.3158581256866455,3.3145129680633545,33.29201,43.613552,31.901966
32000,0.004446525126695633,-3.2484264373779297,0.0024626897647976875,0.0008315541781485081,3.038449287414551,3.2429399490356445,3.2375903129577637,33.9375,43.789845,34.680046
33000,0.005206604488193989,-3.1910934448242188,0.0014359927736222744,0.0007085430552251637,3.973316192626953,3.1704764366149902,3.1747360229492188,34.616673,44.01785,33.950706
34000,0.07304812967777252,-3.1365127563476562,0.0009242062806151807,0.0006241815281100571,4.519330978393555,3.1234428882598877,3.1231305599212646,35.238358,44.256786,41.367283
35000,0.008550029247999191,-3.1405797004699707,0.00027757356292568147,0.0005820639198645949,5.5231218338012695,3.1120927333831787,3.111462354660034,35.850796,44.518997,47.33166
36000,0.06906521320343018,-3.1478688716888428,-0.00039210214163176715,0.0006133355782367289,6.639294624328613,3.1182117462158203,3.1267426013946533,36.42478,44.86077,43.08192
37000,0.009983541443943977,-3.229887008666992,4.142938632867299e-05,0.0006782385753467679,5.938916206359863,3.1930649280548096,3.2016282081604004,37.003464,45.231903,34.217873
38000,0.009393315762281418,-3.2617576122283936,1.228720611834433e-05,0.0006982289487496018,5.982402324676514,3.238166332244873,3.2344982624053955,37.57214,45.66701,38.068867
39000,0.016455888748168945,-3.309950351715088,-0.00047618194366805255,0.000740797899197787,6.642796039581299,3.279374122619629,3.2732229232788086,38.103535,46.082516,46.652504
40000,0.18434639275074005,-3.38922119140625,-0.0005036276415921748,0.0008430437301285565,6.5973920822143555,3.361699104309082,3.3628015518188477,38.598824,46.49274,59.052265
41000,0.01692848652601242,-3.4955601692199707,-0.0010889541590586305,0.0010378173319622874,7.049273490905762,3.4485974311828613,3.451648473739624,39.08609,46.92529,52.685207
42000,0.015276540070772171,-3.5375618934631348,0.0001136087958002463,0.0010835777502506971,5.895153999328613,3.5089612007141113,3.50693416595459,39.592743,47.32373,38.712437
43000,0.02860378473997116,-3.5724239349365234,-0.0005798322963528335,0.0011852822499349713,6.489193439483643,3.5258965492248535,3.5267176628112793,40.19446,47.73595,40.17462
44000,0.02081698179244995,-3.6918673515319824,-0.0008326680399477482,0.001285507925786078,6.647734642028809,3.638607978820801,3.644921064376831,40.807213,48.153877,50.967175
45000,0.026903942227363586,-3.838768243789673,0.00033867487218230963,0.0013486417010426521,5.748877048492432,3.8014984130859375,3.801670789718628,41.308662,48.598873,71.67551
