Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Eval/Return
641000,0.010266026481986046,-7.46793270111084,0.04324847832322121,0.00040994922164827585,0.00039773283060640097,0.0003998926840722561,0.0007503065862692893,0.0016959595959633589,-4.500888824462891,7.3922343254089355,7.407620429992676,31.7,62.7755,36.24096,35.19654,35.910023,1.003744125366211,1.0190534591674805,1.004845142364502,1.0224324464797974,0.0,0.005855439696460962,0.0,0.03660750761628151,2.0389274e-08
642000,0.033735327422618866,-7.7895355224609375,0.0013288441114127636,0.0012942738831043243,0.0004059427883476019,0.0009561091428622603,0.00034056062577292323,0.00042863216367550194,17.899803161621094,7.716842174530029,7.696187496185303,41.41169,76.5966,42.814827,40.403053,41.951515,0.9840919971466064,1.0024499893188477,0.9828540682792664,1.007710337638855,0.0,0.005638010799884796,0.0,0.04534352570772171,0.001488105
643000,0.13641414046287537,-6.681628704071045,0.00014477514196187258,0.015647364780306816,0.0007275486132130027,0.003477578517049551,0.001356567838229239,0.0004425004299264401,20.67282485961914,6.59860897064209,6.623801231384277,48.199383,85.7503,49.226913,44.981136,46.74909,0.9650779962539673,0.9847633838653564,0.9627054929733276,0.9866623878479004,0.0,0.008495213463902473,0.0,0.05143522471189499,0.057822984
644000,0.08743944764137268,-6.601938247680664,-0.0006502944743260741,0.003588374238461256,0.0013847695663571358,0.002086782827973366,0.0016891311388462782,0.0004514724132604897,22.440385818481445,6.4981303215026855,6.520513534545898,54.97972,94.28714,56.569664,50.00411,51.65821,0.9956862926483154,1.0779733657836914,0.9888588786125183,1.0794095993041992,0.0,0.01628013700246811,0.0,0.1590806543827057,0.20312105
645000,0.04989311099052429,-5.852451324462891,0.0005337077891454101,0.00038546876749023795,0.0003729599993675947,0.0007664920995011926,0.0037520236801356077,0.00042733727605082095,19.75108528137207,5.798175811767578,5.809037208557129,60.865616,103.16914,62.423035,54.312172,55.669487,0.9295196533203125,0.9561926126480103,0.9339507818222046,0.9658838510513306,0.0,0.008387451991438866,0.0,0.06524695456027985,2.0469582
646000,0.13560891151428223,-5.865187644958496,-0.00014460987586062402,0.0027055596001446247,0.0006109570385888219,0.0016645018476992846,0.0020309900864958763,0.000353029026882723,21.409626007080078,5.798746109008789,5.792237281799316,66.12062,111.594986,68.198296,58.54381,59.582027,0.9386938810348511,0.9824891686439514,0.9329195618629456,0.9836686253547668,0.0,0.009697280824184418,0.0,0.10006789863109589,1.5813084
647000,0.09170152992010117,-5.085604667663574,0.0003587207174859941,0.003793387208133936,0.0017056852811947465,0.004611760377883911,0.004236472304910421,0.00045764411333948374,20.216157913208008,5.006148338317871,5.017504692077637,70.86155,119.83305,73.408035,62.4213,63.179264,0.9248504042625427,0.9802682399749756,0.925775945186615,0.9913097620010376,0.0,0.015418301336467266,0.0,0.12461993098258972,3.49189
648000,0.06529160588979721,-4.719081878662109,2.2319340132526122e-05,0.02698630280792713,0.0005623834440484643,0.004431749694049358,0.004099118057638407,0.00030596842407248914,20.927053451538086,4.640637397766113,4.625420570373535,75.06105,128.05634,78.65426,66.69066,66.66709,0.9123866558074951,0.9467806220054626,0.9112849235534668,0.9497047662734985,0.0,0.018131904304027557,0.0,0.08541183173656464,4.5590525
649000,0.06758809834718704,-4.1424174308776855,0.00037282967241480947,0.0036846688017249107,0.0010386171052232385,0.003638508729636669,0.005782491527497768,0.000349656940670684,19.933727264404297,4.092148780822754,4.091087341308594,79.2622,135.18668,83.63631,70.66336,70.1333,0.9179640412330627,0.9695242643356323,0.9152554273605347,0.9742271900177002,0.0,0.023840609937906265,0.0,0.12588229775428772,10.690627
650000,0.09427975118160248,-3.909369468688965,-0.0005012486362829804,0.047359928488731384,0.0015868290793150663,0.009432115592062473,0.002518447581678629,0.0003078111039940268,22.628429412841797,3.874741792678833,3.8667991161346436,83.12939,142.35768,88.43466,74.74936,73.61958,0.998763918876648,1.1700938940048218,0.989000141620636,1.184333086013794,0.0,0.04241371527314186,0.0,0.310935914516449,8.534656
651000,0.06626258790493011,-3.781403064727783,-0.0002820657682605088,0.010980600491166115,0.0018280564108863473,0.00701237702742219,0.003113373415544629,0.00039866851875558496,21.70751953125,3.7216713428497314,3.720033645629883,86.45831,148.9406,93.87231,79.25485,77.28815,1.0184047222137451,1.2335612773895264,1.0181899070739746,1.2556602954864502,0.0,0.04457760602235794,0.0,0.3525083065032959,20.490662
652000,0.1285981833934784,-3.9324252605438232,0.00029368800460360944,0.058174099773168564,0.007621278986334801,0.00776262441650033,0.0037854204420000315,0.00048213970148935914,20.390865325927734,3.864556312561035,3.878509044647217,89.543335,155.39421,98.54647,83.229546,80.6449,1.0649207830429077,1.2567617893218994,1.0633456707000732,1.2614002227783203,0.0,0.060639627277851105,0.0,0.3087359666824341,39.51765
653000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
654000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
655000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
