Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.00012372908531688154,-0.636366069316864,0.014647496864199638,0.05492669343948364,0.012870952486991882,-0.6361837983131409,0.6292820572853088,0.6278782486915588,15.222210884094238,15.011798858642578,15.132621765136719,0.08958898484706879,15.132620811462402,24.808344,45.754913,10.351812,11.427813,0.0
264192,9.48459273786284e-06,-0.2563365697860718,0.001969782868400216,0.0029772906564176083,0.002231915481388569,-0.44189634919166565,0.25476008653640747,0.2545892000198364,6.226617813110352,6.211684226989746,6.151483535766602,0.07513381540775299,6.15148401260376,27.620218,46.380196,10.534827,13.819974,0.0
392192,1.2147579582233448e-06,-0.08848397433757782,0.0003726551658473909,0.0004028545808978379,0.0003648075507953763,-0.5286062955856323,0.08871763944625854,0.08821365982294083,2.1766810417175293,2.1651968955993652,2.1115667819976807,0.06511416286230087,2.1115667819976807,30.463717,47.201283,11.090891,16.790287,0.0
520192,1.7427651073376182e-06,-0.02679186873137951,6.146120722405612e-05,0.0003232190210837871,6.335579382721335e-05,-0.44949668645858765,0.026721499860286713,0.028785377740859985,1.095870852470398,1.0710035562515259,1.0647573471069336,0.031113531440496445,1.064757227897644,32.315468,47.460953,11.687077,20.18717,0.0
648192,3.1117224352783523e-07,-0.00922152865678072,1.0471383575350046e-05,0.00042472261702641845,1.0543138159846421e-05,-0.5293701887130737,0.010220443829894066,0.009212369099259377,1.0198885202407837,0.9907214641571045,1.0083225965499878,0.011565905064344406,1.0083225965499878,33.338795,47.477722,11.84295,22.73939,0.0
776192,2.2355052919920126e-07,-0.003305010963231325,1.9616345525719225e-06,0.0004426721716299653,1.6773507240941399e-06,-0.6751711368560791,0.0033038684632629156,0.003471083240583539,1.0040557384490967,0.9742472171783447,1.0006797313690186,0.003375980770215392,1.0006797313690186,33.671303,47.43692,11.834862,23.315916,0.0
904192,2.851531788472528e-10,-0.0006771446205675602,3.356792603881331e-07,0.00043797193211503327,2.8272944518903387e-07,-0.6869168877601624,0.0006769499741494656,0.0007146864663809538,1.0025204420089722,0.972743034362793,1.000281810760498,0.0022385765332728624,1.000281810760498,33.67366,47.39491,11.799226,23.31678,0.0
1032192,8.9228361570097e-14,-0.00016469843103550375,6.049042156064388e-08,0.00043863762402907014,5.116364931723183e-08,-0.6825246810913086,0.00016486432286910713,0.00016466350643895566,1.0018792152404785,0.9721461534500122,1.0001626014709473,0.0017166293691843748,1.0001626014709473,33.67036,47.367493,11.773102,23.316353,0.0
1160192,1.8879395269344457e-10,-1.2590371625265107e-05,1.4052149666099467e-08,0.00044012570288032293,1.1896238660824565e-08,-0.6803523898124695,1.2582640920300037e-05,4.057624755660072e-05,1.0015132427215576,0.9717860817909241,1.0001091957092285,0.0014039759989827871,1.000109314918518,33.670128,47.34352,11.7528105,23.316319,0.0
1288192,4.35451408264953e-09,0.0002133018570020795,5.186867380047033e-09,0.00044182734563946724,4.3670675964335715e-09,-0.6816534996032715,-0.00021330508752726018,-0.00012900054571218789,1.0011945962905884,0.9714685678482056,1.000068187713623,0.0011265125358477235,1.0000680685043335,33.670067,47.32192,11.736416,23.316315,0.0
1416192,1.2888566602864415e-10,8.918671665014699e-05,2.7595667972946103e-09,0.00044167041778564453,2.320309944181531e-09,-0.6823239922523499,-6.64708495605737e-05,-8.91883100848645e-05,1.0009963512420654,0.9712754487991333,1.000044584274292,0.0009517861763015389,1.000044584274292,33.670055,47.303616,11.722857,23.316317,0.0
1544192,7.90009124784774e-09,9.143196803051978e-05,1.7951793385151404e-09,0.00043309348984621465,1.5122552099455788e-09,-0.6831054091453552,9.377850801683962e-05,-9.143294300884008e-05,1.0008745193481445,0.9711477756500244,1.0000348091125488,0.0008396992343477905,1.0000346899032593,33.670044,47.2882,11.711385,23.316317,0.0
1672192,6.0218136900547226e-12,4.895778329228051e-05,1.3093623962845413e-09,0.000437888375017792,1.10334863467898e-09,-0.6829289197921753,-4.2925195884890854e-05,-4.895852180197835e-05,1.0006332397460938,0.9709227085113525,1.0000113248825073,0.0006218374473974109,1.0000114440917969,33.670044,47.275055,11.701537,23.316317,0.0
1800192,2.7593756747319557e-14,6.063918772269972e-05,1.0396636884735244e-09,0.00043971050763502717,8.61474613866875e-10,-0.6911323666572571,-6.047355418559164e-05,-6.063980981707573e-05,1.0005303621292114,0.9708169102668762,1.0000011920928955,0.0005290842382237315,1.0000011920928955,33.670044,47.265324,11.692715,23.316317,0.0
1928192,1.9230893732926496e-14,3.354347063577734e-05,8.511146232237365e-10,0.0004378253943286836,7.045166117158885e-10,-0.6892383098602295,-3.339401155244559e-05,-3.354392902110703e-05,1.000459909439087,0.9707518219947815,0.9999896287918091,0.000470308237709105,0.9999896287918091,33.67004,47.25818,11.68434,23.316317,0.0
2056192,6.064298929686629e-08,0.000535604718606919,7.023326364929972e-10,0.0004378400044515729,5.940652414437864e-10,-0.6839553117752075,-0.0005356051260605454,-4.442327917786315e-05,1.0004024505615234,0.970694363117218,0.9999616146087646,0.0004407525702845305,0.9999616146087646,33.67004,47.25463,11.675074,23.316317,0.0
2184192,1.6173903545407733e-15,2.0375631720526144e-05,6.022520260273723e-10,3.3917948449868618e-09,5.132966274246087e-10,-0.6889199018478394,-2.0283336198190227e-05,-2.0375984604470432e-05,0.8112941384315491,0.8112344741821289,0.8108762502670288,0.00041795996367000043,0.8108761310577393,33.67004,47.252148,11.646372,23.316317,0.0
2312192,7.692502505211168e-14,5.194673212827183e-05,2.826441858339024e-10,6.420251885685957e-09,4.6347903293053605e-10,-0.14887923002243042,-5.122630318510346e-05,-5.196069832891226e-05,0.24350136518478394,0.243474081158638,0.2420952171087265,0.0014061371330171824,0.2420952171087265,33.68292,47.251247,11.645898,23.316963,0.0
2440192,1.1891182483125817e-13,1.64573903020937e-05,-3.7996553126085075e-10,2.5577412188226845e-08,5.067034569705697e-10,1.2523326873779297,-1.563036857987754e-05,-1.6464769942103885e-05,0.07384449243545532,0.07385295629501343,0.07162122428417206,0.0022232637275010347,0.07162122428417206,33.718887,47.251083,11.645522,23.312279,0.0
2568192,5.677311953888875e-10,0.0021336921490728855,-1.8656176603570884e-09,5.579401204158785e-06,8.691790065462612e-10,2.558168649673462,-0.002133758505806327,-0.0021315314806997776,0.32062944769859314,0.3177226781845093,0.30688464641571045,0.013744814321398735,0.30688464641571045,33.98445,47.555813,12.452819,23.553886,0.0
