Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Eval/Return
641000,0.0023675067350268364,-3.8392786979675293,0.00945130456238985,0.002870895667001605,2.7078897953033447,3.765117645263672,3.763230323791504,30.920578,53.926674,170.62529
642000,0.011069761589169502,-7.091860771179199,-0.00043111544800922275,0.0030432757921516895,6.141661643981934,6.939690589904785,6.9309186935424805,39.3099,63.9588,174.44958
643000,1.2785305976867676,-11.558745384216309,-0.000992420595139265,0.004112261813133955,6.241332054138184,11.382406234741211,11.390497207641602,46.907917,72.52877,346.62457
644000,0.0337911993265152,-16.45045280456543,-0.001589560299180448,0.003977019339799881,6.399686336517334,16.233306884765625,16.24207878112793,53.627556,79.650734,340.30112
645000,1.161849021911621,-20.806432723999023,0.00020568619947880507,0.0035353507846593857,5.94182014465332,20.67556381225586,20.67704200744629,59.364212,86.29236,365.3667
646000,1.44246244430542,-23.835208892822266,-0.00011338177137076855,0.0037516970187425613,6.030221462249756,23.66937828063965,23.618297576904297,64.33249,92.45849,342.42282
647000,0.03389064967632294,-25.610288619995117,0.002100731711834669,0.003318634582683444,5.3669891357421875,25.44196891784668,25.431732177734375,68.75774,98.50105,338.39108
648000,7.724580764770508,-27.219669342041016,-0.0002778253110591322,0.003130177967250347,6.088757038116455,27.137601852416992,27.123554229736328,72.62765,104.61704,336.4653
649000,1.3076283931732178,-28.570693969726562,0.0011309059336781502,0.0032430680003017187,5.651285171508789,28.455780029296875,28.457164764404297,76.47081,110.60288,360.76648
650000,4.022918224334717,-28.669082641601562,0.0008988110930658877,0.003068241523578763,5.707059860229492,28.569625854492188,28.57825469970703,79.88203,116.17796,364.69595
651000,8.307806968688965,-29.388118743896484,-0.0036173241678625345,0.0035475953482091427,7.019655227661133,29.231966018676758,29.22509002685547,83.26822,121.38949,353.09323
652000,0.03366154804825783,-29.887723922729492,-0.000995026552118361,0.0031800621654838324,6.31289529800415,29.79175567626953,29.768844604492188,86.25777,126.426315,356.23264
653000,12.958438873291016,-30.124248504638672,0.0010006428929045796,0.003223126521334052,5.689542770385742,30.056541442871094,30.013341903686523,89.54069,131.3699,350.37292
654000,0.03343817591667175,-30.554452896118164,-0.00037879744195379317,0.003251376561820507,6.116503715515137,30.47473907470703,30.49982261657715,92.52092,136.07079,356.70065
655000,4.409379005432129,-30.615943908691406,-0.00038103832048363984,0.002819254994392395,6.13515567779541,30.556379318237305,30.567750930786133,95.303566,140.50125,363.35815
656000,0.028531841933727264,-30.57369613647461,0.0008815073524601758,0.0029771733097732067,5.703911304473877,30.461090087890625,30.468360900878906,97.8163,145.0975,362.85324
657000,2.3752496242523193,-30.957233428955078,-6.50600268272683e-05,0.0028043072670698166,6.023200035095215,30.881237030029297,30.873165130615234,100.166145,149.38866,361.60388
658000,0.027943115681409836,-30.785808563232422,0.0009108148515224457,0.0031289749313145876,5.708909511566162,30.709075927734375,30.691375732421875,102.72162,153.59897,358.17313
659000,3.9556808471679688,-31.233036041259766,0.0001411494886269793,0.0031125731766223907,5.954651832580566,31.179645538330078,31.168657302856445,105.19818,157.5587,369.39203
