Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Analysis/Val_diff,Analysis/SA_diff,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return
11000,0.001078527420759201,-2.1017351150512695,0.7581727504730225,6.259244401007891e-05,3.3664051443338394e-05,0.009908543899655342,0.029334776,0.0057644909247756,0.9841128587722778,0.07535197585821152,-4.061750888824463,1.785857915878296,1.789135456085205,27.866953,39.514893,27.452692,27.723377,27.582731,32.539104,2.215759
12000,0.000612731440924108,-3.1855504512786865,0.5884725451469421,4.901864303974435e-05,9.742169640958309e-05,0.008186724968254566,0.021168265,0.00927957333624363,0.972561776638031,0.05833722651004791,-4.087427139282227,2.9476089477539062,2.9482269287109375,27.847525,39.501785,27.374203,27.664442,27.479746,32.5525,3.3531349
13000,0.0004964880645275116,-3.966024160385132,0.46266865730285645,4.557459760690108e-05,8.96125566214323e-05,0.00782619509845972,0.0238525,0.008556130342185497,0.9601818323135376,0.04584203660488129,-4.092672348022461,3.78432559967041,3.767583131790161,27.841555,39.451138,27.334122,27.57524,27.383963,32.589954,3.7611504
14000,0.0003414351958781481,-4.506949424743652,0.3659473657608032,5.159797365195118e-05,0.00012933765538036823,0.008446864783763885,0.018665243,0.005716422572731972,0.9536383152008057,0.0363231860101223,-4.074759483337402,4.356321334838867,4.361248016357422,27.844902,39.36762,27.305632,27.514133,27.313437,32.656715,3.5872324
15000,0.00022257825185079128,-4.881378173828125,0.2914406359195709,4.0534512663725764e-05,0.00014368025586009026,0.006692186929285526,0.023743404,0.011833032593131065,0.9474685192108154,0.028909416869282722,-4.0811662673950195,4.767971038818359,4.770766258239746,27.856527,39.290775,27.285992,27.482244,27.268488,32.758186,3.6153321
16000,0.0003080656169913709,-5.138632774353027,0.23299863934516907,5.1411494496278465e-05,6.520142778754234e-05,0.00801329966634512,0.020514563,0.005805889144539833,0.9339033365249634,0.02306252531707287,-4.102911472320557,5.029587745666504,5.02935791015625,27.875086,39.207882,27.271032,27.472395,27.229502,32.883293,3.1300886
17000,0.0008223674376495183,-5.2782440185546875,0.18583343923091888,5.692716877092607e-05,9.709619916975498e-05,0.009466676972806454,0.019136893,0.008565399795770645,0.9223818778991699,0.01842016726732254,-4.08858585357666,5.170941352844238,5.168138027191162,27.90416,39.11464,27.271212,27.499744,27.223593,33.021626,3.9205894
18000,0.00017224386101588607,-5.338838577270508,0.14785200357437134,5.2395040256669745e-05,0.00010721525177359581,0.00864923745393753,0.021950308,0.005370320752263069,0.9157963991165161,0.014720777980983257,-4.043763160705566,5.272136211395264,5.267851829528809,27.93762,39.02876,27.264904,27.552692,27.235329,33.1661,4.160809
19000,0.0003320590185467154,-5.3153486251831055,0.11872777342796326,5.278446769807488e-05,9.260349906980991e-05,0.008312392979860306,0.0206299,0.011785928159952164,0.9035640954971313,0.01176796667277813,-4.089064598083496,5.280187606811523,5.281945705413818,27.97788,38.930973,27.26144,27.593704,27.22943,33.326694,4.1073093
20000,0.036900706589221954,-5.244288444519043,0.09489963948726654,0.0014958154642954469,9.168032556772232e-05,0.007709260564297438,0.02542979,0.0087070781737566,0.8945338726043701,0.009409197606146336,-4.085837364196777,5.234029769897461,5.234835624694824,28.021387,38.836334,27.26476,27.621952,27.232063,33.478165,2.257774
