Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return,Eval/Return_deterministic
768000,5.205499292060267e-06,0.00732971727848053,0.1277119219303131,0.4262790381908417,9.888573549687862e-05,0.0,0.011977685615420341,-0.8224121928215027,0.879709005355835,17.581997,16.219494,16.604712,26.662622,17.133266,0.0,0.0
896000,1.533065415060264e-06,0.007073570508509874,0.19728194177150726,0.6163578033447266,0.00011376962356735021,0.0,0.007477793842554092,-0.5531076192855835,0.6606438159942627,17.953472,16.173962,16.7111,31.759182,17.912916,0.0,0.0
1024000,6.190152816998307e-07,0.004364805296063423,0.15805275738239288,0.6576383709907532,0.00037745002191513777,0.0,0.003081641625612974,-0.3137415647506714,0.3444232940673828,18.72116,16.148582,16.821678,34.567677,18.464449,0.0,0.0
1152000,2.6384264856460504e-05,0.0006139071774668992,0.141562357544899,0.733938992023468,5.65179689147044e-05,0.0,0.019501565024256706,-0.03205803409218788,0.1731274127960205,20.433613,17.031267,16.840977,37.193886,19.012419,2.8,2.8359375
1280000,0.00040771736530587077,0.003323483048006892,0.2616913318634033,1.56383216381073,0.0005377666093409061,0.0,0.08169426023960114,-0.12441079318523407,0.22424325346946716,22.104834,20.328407,16.863026,40.42411,19.461327,7.9,0.0
1408000,0.0033518681302666664,0.0029902388341724873,0.21620577573776245,1.2211979627609253,0.002423500409349799,0.0,0.23324353992938995,-0.022247936576604843,0.2558494806289673,23.58722,23.51011,16.914536,42.850124,19.961382,1.7,3.1171875
1536000,0.0007961088558658957,0.0008144726161845028,0.33715102076530457,1.1851152181625366,0.0001780129678081721,0.0,0.28079545497894287,0.1538904309272766,0.2321082204580307,25.20321,26.275396,16.97075,45.41678,20.434015,4.5,27.2265625
1664000,0.005107756704092026,0.006685091182589531,0.18973392248153687,1.3724859952926636,0.0040168920531868935,0.0,0.47215795516967773,0.4060421884059906,0.31344494223594666,26.014174,29.28395,17.171724,47.773098,20.850191,31.2,21.5625
1792000,0.007497095037251711,0.03917142003774643,0.3637267053127289,1.3452314138412476,0.01027684099972248,0.0,0.8269827365875244,1.4729499816894531,0.9650450944900513,26.852787,32.513412,17.666729,50.15861,21.25401,34.9,29.5703125
1920000,0.021017495542764664,0.042004428803920746,0.2851856052875519,1.1846436262130737,0.029630083590745926,0.0,1.212528944015503,0.8193092346191406,0.8460037112236023,27.656624,35.888412,18.197695,51.651825,21.69743,0.0,37.4375
2048000,0.027636561542749405,8.752542495727539,0.4769890010356903,1.4336501359939575,0.026227198541164398,0.0,1.8699204921722412,9.102975845336914,7.734109878540039,28.381899,41.89127,19.575682,53.533424,22.144249,51.8,8.515625
2176000,0.07799755781888962,0.35598355531692505,0.2982363700866699,1.2102843523025513,0.021986935287714005,0.0,2.0625874996185303,5.042208671569824,3.129392623901367,28.45977,47.89155,21.224909,55.57035,22.550032,11.6,26.578125
2304000,0.16036906838417053,6.891239166259766,0.3567047119140625,1.529231309890747,0.025444835424423218,0.0,2.667818307876587,17.948949813842773,15.418415069580078,28.916353,53.62255,22.021908,58.010845,22.979414,103.0,18.1484375
2432000,0.07346376776695251,0.4032118320465088,0.29701945185661316,1.1995104551315308,0.05027049407362938,0.0,2.7017555236816406,5.571948528289795,3.706319570541382,29.431234,59.637226,22.531519,60.748646,23.419245,142.1,21.171875
2560000,0.28867658972740173,2.3592782020568848,0.35118675231933594,1.4960229396820068,0.055078476667404175,0.0,6.087634086608887,10.345788955688477,5.804731845855713,30.697489,64.67288,23.115782,65.26813,23.868715,983.7,526.859375
2688000,12.670637130737305,4.532442569732666,0.5663098096847534,1.8064243793487549,0.06928887963294983,0.0,9.291847229003906,6.120347023010254,4.787051200866699,31.70133,69.53071,23.467125,67.74889,24.359566,831.0,235.6484375
2816000,0.24291536211967468,0.6802354454994202,0.3811104893684387,1.3261051177978516,0.030414573848247528,0.0,12.721391677856445,6.800922870635986,6.3876776695251465,32.714516,73.65752,23.722847,70.02881,24.828358,453.4,385.9765625
2944000,0.3281710743904114,1.8599578142166138,0.5654177665710449,1.2831087112426758,0.06743262708187103,0.0,15.805208206176758,10.947858810424805,5.91860294342041,33.726078,77.62381,24.150515,72.39663,25.290125,992.2,386.53125
3072000,5.306564807891846,14.7076416015625,0.6115157604217529,1.6436036825180054,0.0499165877699852,0.0,19.42423439025879,15.343238830566406,8.700723648071289,34.597336,81.22067,25.490612,74.36868,25.753696,491.0,366.890625
3200000,11.417865753173828,12.300108909606934,0.5964742302894592,1.7861820459365845,0.12325771898031235,0.0,21.978282928466797,18.032480239868164,9.108222007751465,34.959072,84.06091,27.045437,76.83668,26.292147,786.9,147.9765625
3328000,24.725704193115234,34.70343017578125,0.5739610195159912,1.6626007556915283,0.035259924829006195,0.0,24.36136245727539,18.16531753540039,8.825401306152344,35.824642,87.054054,27.796757,79.75305,26.858307,0.0,462.140625
3456000,0.40848106145858765,4.6510820388793945,0.586601972579956,1.3379048109054565,0.054205890744924545,0.0,24.46704864501953,17.301048278808594,9.17676067352295,36.348972,90.35316,28.826174,83.380325,27.396034,1000.0,596.5703125
3584000,4.563824653625488,4.511966705322266,0.6118608713150024,1.3260773420333862,0.04980955272912979,0.0,24.48432159423828,11.178049087524414,13.685874938964844,37.17715,93.62463,29.338276,87.062195,27.976053,996.8,687.890625
3712000,14.470576286315918,10.09080696105957,0.6864476799964905,1.7271925210952759,0.05931469798088074,0.0,28.076871871948242,20.183122634887695,10.749336242675781,38.066486,96.33226,29.773788,90.24304,28.584625,1000.0,512.8671875
3840000,0.4275311827659607,4.84131383895874,0.5174163579940796,1.3719013929367065,0.024812784045934677,0.0,30.397192001342773,22.04373550415039,10.059907913208008,38.810913,98.67561,30.133577,92.19969,29.128279,1000.0,604.90625
3968000,0.5607569217681885,5.291996002197266,0.5051151514053345,1.480394721031189,0.09691768884658813,0.0,33.51268005371094,20.61829948425293,13.752656936645508,39.340286,101.03937,30.6724,94.54776,29.693819,957.2,688.125
4096000,32.79122543334961,31.841522216796875,0.564841091632843,1.7734768390655518,0.05010276287794113,0.0,34.889923095703125,22.579524993896484,13.137801170349121,40.34184,103.16771,31.172039,96.92227,30.278227,1000.0,665.1015625
4224000,13.514402389526367,12.486541748046875,0.7020360827445984,1.4257837533950806,0.07106539607048035,0.0,36.50012969970703,19.683948516845703,20.497875213623047,41.47816,105.16684,31.534966,99.08347,30.88553,888.2,451.4609375
4352000,14.474764823913574,8.457756042480469,0.8688536882400513,1.599385380744934,0.057493917644023895,0.0,36.8428955078125,18.896604537963867,18.9716854095459,41.876495,107.02742,31.977476,102.02288,31.509108,508.5,499.46875
4480000,2.6087255477905273,6.494040489196777,1.0210914611816406,1.5856622457504272,0.06456310302019119,0.0,37.720542907714844,28.4953670501709,12.096802711486816,42.267242,108.921486,32.40609,104.711266,32.117516,542.10004,386.5390625
4608000,0.6192911267280579,8.596757888793945,0.7354516983032227,1.6570137739181519,0.06507885456085205,0.0,44.130409240722656,30.362152099609375,15.745447158813477,42.959267,110.882576,32.673912,107.612946,32.653015,1000.0,627.375
4736000,28.62640380859375,18.268693923950195,0.7814004421234131,1.8946850299835205,0.12453552335500717,0.0,49.501312255859375,37.76362609863281,14.432648658752441,43.607174,112.61283,33.140224,109.03593,33.21557,1000.0,754.6796875
4864000,0.7897751331329346,7.880054950714111,1.135104775428772,1.5420453548431396,0.06228387728333473,0.0,54.002540588378906,44.82868957519531,14.044873237609863,44.283382,114.20371,33.339073,111.01224,33.812218,1000.0,604.484375
4992000,15.073094367980957,14.723960876464844,1.002639889717102,1.6734943389892578,0.06755124032497406,0.0,57.902713775634766,55.62143325805664,12.968300819396973,45.001354,115.844185,33.765625,113.46778,34.380993,1000.0,783.2421875
5120000,15.966118812561035,30.30198860168457,1.0919864177703857,1.6866196393966675,0.08393610268831253,0.0,59.39214324951172,59.607452392578125,11.661072731018066,45.334137,117.35192,34.2094,115.78255,35.009285,1000.0,716.578125
