Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.0023952098563313484,-2.153804302215576,0.7570390105247498,0.0005373656167648733,0.002084406791254878,0.042034950107336044,5.137072563171387,7.564628322143108e-05,0.0753394141793251,-4.048378944396973,1.8531229496002197,1.8594753742218018,28.144485,39.588,27.289207,27.656235,27.462927,51.143726,1.7730039,0.9398061
12000,0.0015562641201540828,-3.273454427719116,0.5885850191116333,0.0005922073032706976,0.00295662390999496,0.043974198400974274,4.9590935707092285,0.00011756359890569001,0.05832294747233391,-4.091825485229492,3.0215559005737305,3.0171146392822266,28.10849,39.708096,27.111477,27.617886,27.357666,51.21302,3.4554746,2.4139233
13000,0.0023488758597522974,-4.0427656173706055,0.4602207541465759,0.004769003018736839,0.004193752538412809,0.031824901700019836,5.2246479988098145,2.772697916952893e-05,0.04582960903644562,-4.041996002197266,3.8472256660461426,3.8318679332733154,28.079033,39.75255,26.984539,27.574427,27.278673,51.357452,3.8491604,2.4309084
14000,0.0011347922263666987,-4.5886383056640625,0.3660772144794464,0.004758257884532213,0.004042360931634903,0.028558004647493362,4.867926597595215,0.00014512581401504576,0.036316465586423874,-4.080199241638184,4.452250957489014,4.452228546142578,28.0607,39.756832,26.897995,27.547234,27.207258,51.588573,3.2597115,2.4748116
15000,0.00191559549421072,-4.966588020324707,0.2910107970237732,0.0007112492457963526,0.005107543431222439,0.04899296909570694,5.147637367248535,2.3793812943040393e-05,0.02890695631504059,-4.067154884338379,4.831271648406982,4.8296284675598145,28.06194,39.72978,26.843023,27.517057,27.153315,51.767517,3.7021902,2.8128464
16000,0.0037451223470270634,-5.120477676391602,0.23144084215164185,0.0006788602331653237,0.008127212524414062,0.047205850481987,4.868129730224609,3.9226644730661064e-05,0.023067256435751915,-4.033306121826172,5.046571731567383,5.049100399017334,28.12316,39.72944,26.800863,27.492237,27.11673,51.97352,4.355924,3.0074813
17000,0.0014225100167095661,-5.318934440612793,0.1849876046180725,0.0008475975482724607,0.011053155176341534,0.05223129689693451,4.380204200744629,4.1219667764380574e-05,0.01843356154859066,-4.035369873046875,5.217507362365723,5.215160369873047,28.180416,39.724937,26.751318,27.481037,27.062498,52.16611,4.25068,2.0466344
18000,0.01135261356830597,-5.366969108581543,0.14628192782402039,0.013965648598968983,0.01301509328186512,0.022456295788288116,3.975691556930542,4.612060001818463e-05,0.01474576722830534,-3.9202656745910645,5.297101020812988,5.292122840881348,28.226461,39.67692,26.677412,27.508734,27.01557,52.39984,3.7777646,3.819669
19000,0.0016330302460119128,-5.347359657287598,0.11616767942905426,0.000774858461227268,0.011945758946239948,0.05406004190444946,3.545593738555908,0.0001626549055799842,0.011801316402852535,-3.8436200618743896,5.286839962005615,5.276316165924072,28.42785,39.657677,26.63357,27.527857,26.980206,52.61001,4.7045135,4.7797413
20000,0.006418455392122269,-5.294751167297363,0.09285208582878113,0.0005697247106581926,0.01659790612757206,0.04011218622326851,2.7591686248779297,7.46149307815358e-05,0.009456019848585129,-3.8193626403808594,5.258731365203857,5.250059127807617,28.611214,39.619804,26.614567,27.543571,26.92897,52.842136,4.1877933,4.748874
