Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/source_action_matching_loss,Loss/cross_action_matching_loss,Loss/target_action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/actor_e2_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Eval/Return,Eval/Return_e2
641000,0.1910429298877716,-76.35429382324219,7.860044479370117,0.018530873581767082,0.09815240651369095,0.09198630601167679,4.133763286517933e-05,1.1573279152798932e-05,2.7936597689404152e-05,0.22254535555839539,-14.31884479522705,73.16156005859375,73.15036010742188,29.277536,66.41461,54.350433,27.378242,55.762268,52.320522,1.1882353e-07,0.6058851
642000,133.19033813476562,-188.76344299316406,11.160271644592285,0.11743634194135666,0.13761654496192932,0.01074378751218319,2.880770443880465e-05,1.9640949176391587e-05,2.6590856577968225e-05,0.3155989944934845,-14.362190246582031,184.38018798828125,184.41737365722656,34.48714,82.051186,64.832756,29.310513,67.69324,61.180065,3.2686255e-08,3.7342622
643000,277.3680419921875,-269.8631591796875,11.125865936279297,0.1449345052242279,0.08492065221071243,0.015228195115923882,2.5549989004503004e-05,2.271311495860573e-05,1.97608424059581e-05,0.31541508436203003,-14.273728370666504,265.4923400878906,265.66314697265625,40.556873,94.67897,73.8965,36.612904,78.83707,69.24818,6.453299e-08,5.9875917
644000,397.6495361328125,-323.04571533203125,11.164091110229492,0.14474469423294067,0.12340517342090607,0.013865772634744644,2.5786861442611553e-05,1.632251587579958e-05,1.5918702047201805e-05,0.3161327540874481,-14.314569473266602,318.79815673828125,318.7886657714844,45.292797,105.49746,82.15726,41.049442,89.08379,76.5686,3.852781e-08,28.905645
645000,489.33154296875,-358.21124267578125,11.15854549407959,0.11954078823328018,0.07012100517749786,0.0812988430261612,2.5087063477258198e-05,1.6129837604239583e-05,1.232323847943917e-05,0.3160237967967987,-14.309192657470703,353.98992919921875,353.83746337890625,49.618546,114.8988,89.90591,43.16824,99.25021,83.57362,1.1664211e-08,16.231913
646000,0.5574272871017456,-380.1943359375,11.129258155822754,0.0529044046998024,0.07497964799404144,0.008992188610136509,2.6508174414630048e-05,1.4138793630991131e-05,1.0551694686000701e-05,0.31553807854652405,-14.27072811126709,375.83966064453125,375.901611328125,53.599003,122.92276,96.85653,44.780777,108.19319,90.05373,1.7396463e-08,5.4804034
647000,904.1297607421875,-394.7659912109375,11.13543701171875,0.21076731383800507,0.1284751147031784,0.016221294179558754,2.5177829229505733e-05,1.9319513739901595e-05,1.3688584658666514e-05,0.31516826152801514,-14.331722259521484,389.7410583496094,390.26531982421875,56.99281,129.96976,103.631,46.347622,117.44507,96.23656,4.823404e-08,1.569294
648000,1188.670166015625,-403.6636657714844,11.10478401184082,0.197905495762825,0.03395974263548851,0.07022137194871902,2.8278544050408527e-05,1.7706523067317903e-05,1.2330556273809634e-05,0.3147454559803009,-14.281792640686035,398.6723937988281,399.644287109375,60.646576,136.46024,109.93375,47.727623,125.912346,102.10403,4.648475e-08,1.1960925
649000,0.6425929665565491,-409.01629638671875,11.10306167602539,0.020020531490445137,0.140505850315094,0.35180631279945374,2.838722321030218e-05,1.540753510198556e-05,1.3595192285720259e-05,0.314341276884079,-14.32167911529541,404.5227355957031,404.4356689453125,64.23072,142.6477,116.02639,49.000015,134.20047,107.65236,1.4155588e-08,1.796936
650000,1.6284353733062744,-411.887451171875,11.106961250305176,0.064954474568367,0.09882522374391556,0.009381460025906563,2.7919542844756506e-05,1.505884119978873e-05,1.2311871614656411e-05,0.3142595887184143,-14.343269348144531,407.61627197265625,407.6266174316406,67.65253,148.82277,122.24145,49.858276,142.56221,113.36333,1.4305923e-08,10.339081
