Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,3.491750976536423e-05,-0.17240428924560547,0.016604837030172348,0.0008166353218257427,0.014324351213872433,-0.6374459862709045,0.1653118133544922,0.16351298987865448,6.066666603088379,6.059115409851074,5.9950127601623535,0.07165367901325226,5.9950127601623535,0.4842560291290283,24.273598,45.964607,10.281088,11.353803,0.0
264192,3.1620795652997913e-06,-0.14320369064807892,0.002746990416198969,0.0015203026123344898,0.002402727259323001,-0.6430243253707886,0.14270605146884918,0.14154388010501862,1.5735058784484863,1.6217358112335205,1.5429763793945312,0.030529599636793137,1.5429762601852417,5.000333309173584,28.110926,47.6802,14.862281,15.504889,0.0
392192,0.0002474157663527876,-0.061437662690877914,0.0003791205526795238,0.00018335969070903957,0.00041046447586268187,-0.42669492959976196,0.0627957433462143,0.06011119484901428,0.30374783277511597,0.3108599781990051,0.24855124950408936,0.055196601897478104,0.24855124950408936,0.012928673066198826,32.84895,50.225063,20.77843,21.533005,0.0
520192,0.00021700034267269075,-0.02414756454527378,4.401210026117042e-05,0.001022446434944868,7.387543155346066e-05,-0.15138748288154602,0.025353774428367615,0.023457536473870277,0.14350058138370514,0.1452805995941162,0.08739028871059418,0.05611028894782066,0.08739028871059418,0.032926928251981735,37.163494,52.51781,28.304102,26.869097,0.0
648192,0.0006480725714936852,-0.022222749888896942,-0.00021531511447392404,0.0018054840620607138,9.08627116587013e-05,2.8992347717285156,0.021136026829481125,0.02436055988073349,0.30754414200782776,0.30088216066360474,0.24159082770347595,0.0659533143043518,0.24159082770347595,0.011296465061604977,43.643658,57.039238,36.248676,34.293182,0.0
776192,0.008183117024600506,-0.18934062123298645,-0.0002303640212630853,0.01951085589826107,0.00032595277298241854,1.2929432392120361,0.18566574156284332,0.1892123520374298,0.701701283454895,0.663176417350769,0.6008372902870178,0.10086403787136078,0.6008372902870178,0.0015862630680203438,51.78953,63.2909,44.490433,39.07207,0.0
904192,0.046266116201877594,-1.3200534582138062,0.00013338340795598924,0.0477663017809391,0.002213849686086178,0.5338212251663208,1.2846801280975342,1.2869609594345093,1.055330514907837,1.0628564357757568,0.940376877784729,0.11495354026556015,0.9403769373893738,0.00028980037313885987,60.468575,69.806725,49.756084,42.67984,170.53125
1032192,0.06399141997098923,-4.322171211242676,-0.0008760810596868396,0.14781416952610016,0.010841002687811852,0.5928068161010742,4.269530773162842,4.276184558868408,1.6964900493621826,1.7847580909729004,1.5803241729736328,0.11616595834493637,1.5803240537643433,0.0009707938297651708,67.521355,77.51893,53.86425,45.45849,283.53125
1160192,0.1392751783132553,-8.78288459777832,-0.0006388797191902995,0.2688428461551666,0.02556798607110977,0.6004468202590942,8.664773941040039,8.677061080932617,2.6421780586242676,2.8558478355407715,2.527921676635742,0.11425654590129852,2.527921676635742,0.0009940232848748565,73.05964,86.127716,56.714718,47.41896,668.8671875
1288192,0.12303636968135834,-13.070755004882812,-0.00139161990955472,0.36929064989089966,0.03097168542444706,0.5167633891105652,12.980026245117188,12.97555923461914,3.7202401161193848,4.01680850982666,3.60300874710083,0.11723113059997559,3.603008985519409,0.00044811636325903237,78.39629,94.35024,59.22538,49.516655,721.5703125
1416192,0.12787160277366638,-24.37604522705078,0.0010058023035526276,0.6735146045684814,0.03923686966300011,0.49192243814468384,24.23830795288086,24.257183074951172,5.682351589202881,6.356348991394043,5.557941913604736,0.12440982460975647,5.557941913604736,0.0009652537992224097,83.0669,102.28263,60.913666,51.24383,499.578125
1544192,0.20646339654922485,-24.75051498413086,0.003908390179276466,0.6492946743965149,0.0460066981613636,0.5019088387489319,24.60968589782715,24.66022491455078,6.967682361602783,7.5868940353393555,6.841003894805908,0.12667866051197052,6.841003894805908,0.000649297027848661,87.39779,111.293045,62.9336,53.236774,741.7890625
