Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Loss/Loss_actor_transfer,Loss/State_matching_loss,Loss/Action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return,Eval/Return_e2
11000,0.0029934418853372335,-2.172118663787842,0.7592746019363403,0.0009435463580302894,0.010699491016566753,0.0677681416273117,0.04595795273780823,0.44731980562210083,1.0278900861740112,1.0322149991989136,0.07530122250318527,-4.083164215087891,1.8617267608642578,1.8595746755599976,36.1557,39.59119,27.344784,27.775705,27.560818,51.167248,1.1983069,1.0264368
12000,0.0014111555647104979,-3.310037136077881,0.5881454944610596,0.0007412375416606665,0.02783060260117054,0.05660666525363922,0.05050268396735191,0.4805930256843567,1.0421018600463867,1.0490690469741821,0.05829336494207382,-4.089406490325928,3.0574018955230713,3.055375576019287,36.235466,39.734707,27.166208,27.960213,27.481833,51.18066,2.6377175,1.926081
13000,0.003342859447002411,-4.071715354919434,0.4606800377368927,0.005036983639001846,0.05823146924376488,0.03761579096317291,0.0449768602848053,0.5316752195358276,1.0530047416687012,1.0666272640228271,0.045807793736457825,-4.05680513381958,3.903459072113037,3.9108357429504395,36.228428,39.797173,27.028675,28.100132,27.411522,51.227974,3.5956051,3.0480025
14000,0.0013129734434187412,-4.629478454589844,0.3642875850200653,0.0009204975795000792,0.10147391259670258,0.05712241679430008,0.03407156467437744,0.7162315249443054,1.0666122436523438,1.0788867473602295,0.03629809617996216,-4.03599739074707,4.492452144622803,4.492693901062012,36.23315,39.78689,26.92361,28.21843,27.398666,51.35306,3.1231766,4.216619
15000,0.00299797672778368,-5.014701843261719,0.2912486791610718,0.005528169218450785,0.1866934597492218,0.047498904168605804,0.033375151455402374,0.6322954893112183,1.0743775367736816,1.0852152109146118,0.02889338694512844,-4.08011531829834,4.859719753265381,4.8565239906311035,36.236633,39.772583,26.856258,28.375597,27.499367,51.478474,3.1562893,4.4412236
16000,0.0020717030856758356,-5.191234588623047,0.2325124889612198,0.0012230481952428818,0.21918144822120667,0.08384952694177628,0.03109746240079403,0.6325624585151672,1.0852552652359009,1.0950063467025757,0.023052789270877838,-4.086089134216309,5.117092609405518,5.117184638977051,36.25529,39.74962,26.828947,28.5424,27.647951,51.617348,3.415117,3.9605768
17000,0.0035585612058639526,-5.352073669433594,0.185049906373024,0.0019412870751693845,0.24900896847248077,0.1045672670006752,0.03239341825246811,0.6285786032676697,1.1018325090408325,1.1041111946105957,0.018420632928609848,-4.045795440673828,5.248661518096924,5.248513698577881,36.28127,39.705868,26.82449,28.70217,27.76725,51.836662,4.1851363,3.385746
18000,0.008118199184536934,-5.359156608581543,0.14334098994731903,0.010099343955516815,0.314308226108551,0.07433518022298813,0.03788701444864273,0.6557533144950867,1.1049001216888428,1.1031805276870728,0.014734107069671154,-3.728516101837158,5.30165958404541,5.300006866455078,36.362766,39.68981,26.872658,28.831087,27.862019,52.034863,4.012344,2.5180168
19000,0.0017847949638962746,-5.368223190307617,0.11710851639509201,0.006974773481488228,0.33565980195999146,0.08538553863763809,0.036224737763404846,0.819283664226532,1.108565092086792,1.1200799942016602,0.011793059296905994,-3.930291175842285,5.301924228668213,5.303936958312988,36.510056,39.72611,26.90333,28.9448,27.972197,52.2751,4.1406803,1.9779234
20000,0.0023788567632436752,-5.2935333251953125,0.09282989799976349,0.007437592372298241,0.3406163454055786,0.06151629611849785,0.048079878091812134,1.1507450342178345,1.118522047996521,1.126786470413208,0.009444281458854675,-3.8292183876037598,5.254560947418213,5.25418758392334,36.602325,39.700867,26.937422,29.081287,28.116768,52.483654,3.9434412,3.6070206
21000,0.0015919379657134414,-5.188483238220215,0.07407662272453308,0.003781760111451149,0.4204520583152771,0.107322558760643,0.04530760645866394,0.8691387176513672,1.1266939640045166,1.1364376544952393,0.007567388005554676,-3.788928985595703,5.158013820648193,5.158767223358154,36.73587,39.674038,26.976439,29.234095,28.28216,52.693043,4.440307,4.2783875
22000,0.0012303037801757455,-5.069964408874512,0.0584217868745327,0.003700877074152231,0.3141697645187378,0.11994031071662903,0.0389418825507164,0.973853588104248,1.1445550918579102,1.1388864517211914,0.006070033647119999,-3.6246230602264404,5.050870895385742,5.050290107727051,37.015865,39.673588,27.0195,29.363857,28.463057,52.908333,5.0808616,4.5489244
23000,0.0016574978362768888,-4.918686866760254,0.04621551185846329,0.005642113275825977,0.38651278614997864,0.1185753345489502,0.04467944800853729,0.7679287791252136,1.1412172317504883,1.1515226364135742,0.00487573491409421,-3.478675603866577,4.919682502746582,4.916485786437988,37.36186,39.6062,27.04727,29.517292,28.635948,53.161465,5.182245,7.6732163
24000,0.0018830446060746908,-4.788830757141113,0.034641917794942856,0.008500548079609871,0.36945492029190063,0.12488441914319992,0.03519134968519211,0.7666116952896118,1.150726318359375,1.1626460552215576,0.0039423126727342606,-2.7872061729431152,4.769156455993652,4.769556045532227,37.780987,39.652943,27.083494,29.66398,28.80928,53.343853,7.1183596,9.305999
25000,0.0026347460225224495,-4.698568344116211,0.025083249434828758,0.00700020557269454,0.3090035617351532,0.1691552698612213,0.0346846729516983,0.7650248408317566,1.16204833984375,1.180159091949463,0.003209790913388133,-1.8146051168441772,4.65280818939209,4.664645671844482,38.03641,39.686157,27.118027,29.797325,28.957083,53.56347,7.8892746,9.073606
