Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/source_action_matching_loss,Loss/target_action_matching_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/actor_e2_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Eval/Return,Eval/Return_e2
640010,0.30943578481674194,-8.894439697265625,0.002071449998766184,0.11404052376747131,0.008467728272080421,0.1841384619474411,0.002129314234480262,0.13209770619869232,0.0024275423493236303,20.14668846130371,8.544836044311523,8.560285568237305,32.358208,62.10524,58.458168,28.46217,59.987183,58.94546,118.44268,120.10188
640020,1.029092788696289,-20.732433319091797,0.0008403875399380922,0.10347069054841995,0.007266920991241932,0.019570793956518173,0.0021180524490773678,0.056797612458467484,0.0017613917589187622,20.522884368896484,20.465137481689453,20.43648910522461,44.867607,75.37636,70.90531,28.46851,72.711266,70.97442,224.61186,183.3277
640030,0.7278064489364624,-22.684951782226562,0.0011074451031163335,0.04661038517951965,0.02025483548641205,0.036759134382009506,0.0021096114069223404,0.03812666982412338,0.0018653145525604486,20.406295776367188,22.315227508544922,22.339557647705078,58.369137,84.98892,82.72943,28.428108,84.325485,81.78324,336.3228,204.45506
640040,1.2011659145355225,-25.421295166015625,-0.0035162747371941805,0.08385699987411499,0.013056956231594086,0.11983909457921982,0.0020975922234356403,0.026482028886675835,0.0028814778197556734,22.22030258178711,24.986469268798828,24.987348556518555,71.882416,93.90445,93.322,28.37784,94.976395,91.51702,426.12906,216.61412
640050,1.2509311437606812,-28.368671417236328,0.0011400245130062103,0.1437637060880661,0.13978201150894165,0.009188626892864704,0.0021526834461838007,0.02144838124513626,0.0023902691900730133,20.523056030273438,28.02228355407715,28.028850555419922,85.76392,102.60139,103.20152,28.324558,105.42508,100.90918,513.70526,148.59093
640060,3.3446342945098877,-32.7115592956543,0.0002860702225007117,0.16613614559173584,0.030228445306420326,0.05134230852127075,0.0021363303530961275,0.018372196704149246,0.0037307392340153456,20.923320770263672,32.12213134765625,32.174015045166016,98.82588,110.526024,113.317566,28.27296,115.73412,110.72316,545.75256,142.89253
640070,3.562714099884033,-38.660736083984375,0.002319356892257929,0.2498011440038681,0.04665888845920563,0.03998887538909912,0.00141663639806211,0.016459567472338676,0.00423048622906208,20.451751708984375,38.06528854370117,37.98313903808594,111.239525,118.915245,122.19413,28.227314,125.13504,119.62165,460.4628,144.56322
640080,8.96300220489502,-40.57630920410156,-7.674046355532482e-05,0.4262559115886688,0.1116296648979187,0.05130968987941742,0.001282190321944654,0.01363773737102747,0.0032462566159665585,21.023639678955078,40.222206115722656,40.287986755371094,122.835785,126.290344,129.89658,28.185913,135.68127,128.99857,719.3644,133.46817
640090,1.4687976837158203,-40.01594543457031,-0.0019845447968691587,0.29895341396331787,0.07791285961866379,0.046198684722185135,0.0012579333269968629,0.011150991544127464,0.003006643382832408,21.660053253173828,39.65641784667969,39.60187530517578,132.04836,132.48415,137.28036,28.15098,145.9115,137.96025,493.24374,89.18961
640100,1.5440342426300049,-40.312644958496094,-0.005723666865378618,0.3292660713195801,0.07132229208946228,0.04764457792043686,0.0010433190036565065,0.010188193991780281,0.00332229514606297,22.72280502319336,39.969871520996094,39.86329650878906,138.4861,138.25394,144.22081,28.120125,154.5488,146.17635,512.86346,3.9157772
