Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,Analysis/Val_diff,Analysis/SA_diff,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return
641000,0.017632201313972473,-19.039409637451172,0.5166736245155334,0.007096661254763603,0.0010213113855570555,0.0022635809145867825,0.035931367,0.22922809422016144,0.6392285227775574,0.014772002585232258,-13.97654914855957,18.810026168823242,18.807504653930664,28.235197,46.72874,31.456865,31.577272,32.35398,25.287027,1.3001741e-08
642000,0.03473846614360809,-16.492740631103516,0.08194518834352493,0.010869711637496948,0.0028668041341006756,0.0016209341119974852,0.027187387,1.1278340816497803,0.5295301675796509,0.0025168396532535553,-11.558764457702637,16.434110641479492,16.438079833984375,37.278557,47.281376,31.72643,32.812397,33.15886,25.827326,3.1604625e-08
643000,0.13961413502693176,-12.266480445861816,-0.001716562663204968,0.005948119796812534,0.004444770514965057,0.003623293712735176,0.031978805,1.7339529991149902,0.4207325577735901,0.0005577051197178662,24.077903747558594,12.175488471984863,12.189096450805664,41.075687,47.622772,31.99576,32.833523,33.860584,26.397308,0.00011726462
644000,0.5257171392440796,-27.725929260253906,-0.01268038246780634,0.01230737753212452,0.0044068582355976105,0.009919483214616776,0.060817514,3.1299386024475098,0.29569458961486816,0.001137618557550013,32.146427154541016,27.434001922607422,27.428926467895508,45.271965,48.560307,33.262634,32.92273,36.212936,27.779882,0.0012176713
645000,0.557904064655304,-22.962432861328125,-0.004140575882047415,0.01387222483754158,0.003627907019108534,0.0025682379491627216,0.07946088,4.786501884460449,0.20067933201789856,0.0005509751499630511,28.514995574951172,22.819591522216797,22.84032440185547,49.95743,49.219635,34.410854,33.426704,38.058323,28.921368,6.1458466e-10
646000,0.3112418055534363,-19.746994018554688,-0.0014650108059868217,0.010173406451940536,0.008790131658315659,0.002167574129998684,0.077879906,2.5584588050842285,0.13329195976257324,0.001577849267050624,21.928485870361328,19.52332305908203,19.5355281829834,51.607006,49.68797,35.256668,34.067577,39.792946,29.71131,5.9851586e-06
647000,0.33161115646362305,-21.878843307495117,0.017854714766144753,0.007398136425763369,0.013392539694905281,0.027195077389478683,0.06087429,1.99589204788208,0.09812057018280029,0.0008330650744028389,-0.43255674839019775,21.774660110473633,21.770822525024414,52.62846,49.979794,36.48762,34.60692,41.80714,30.70715,0.00017467016
648000,0.878463625907898,-24.577104568481445,0.0015561970649287105,0.016927048563957214,0.005933498963713646,0.007964320480823517,0.11946915,12.715214729309082,0.06556792557239532,0.0029225756879895926,20.467525482177734,24.13525390625,24.106624603271484,54.177338,50.342747,37.597404,35.097084,44.104305,31.114378,1.1978306e-05
649000,0.32128143310546875,-24.420717239379883,-0.005493911448866129,0.013759652152657509,0.006720431614667177,0.0029346037190407515,0.06998139,3.7710585594177246,0.06711172312498093,0.0016405823407694697,24.348756790161133,23.954063415527344,23.927886962890625,56.127106,50.95489,37.869778,35.966118,44.836952,31.523247,2.0681107e-05
650000,0.06814160197973251,-17.534507751464844,0.004718895070254803,0.005721188150346279,6.748689338564873e-05,0.000890713999979198,0.008082283,0.06916777789592743,0.015311695635318756,0.00023075166973285377,0.549897313117981,17.525489807128906,17.528465270996094,54.700092,50.2744,38.433834,36.9228,46.83371,31.474726,3.0165084e-09
651000,0.1487153172492981,-11.908317565917969,0.0031389491632580757,0.017215680330991745,0.006610981188714504,0.002984346356242895,0.018220758,0.21660427749156952,0.04522962123155594,0.00018957344582304358,4.442040920257568,11.910869598388672,11.915359497070312,55.43396,50.005882,38.810215,37.50241,47.08802,31.439932,0.0006437575
652000,0.03943497687578201,-8.198564529418945,0.00040610015275888145,0.012399492785334587,0.010540329851210117,0.005935844499617815,0.013199624,0.3963455557823181,0.04983341693878174,0.0002070151676889509,19.038307189941406,8.20671272277832,8.203666687011719,55.04802,50.11498,39.118492,37.827827,47.398323,31.561401,8.061805e-06
653000,0.16734161972999573,-5.713324069976807,-0.00710669718682766,0.015263122506439686,0.005500764586031437,0.003697899868711829,0.020725789,0.1830480694770813,0.025401433929800987,0.0001708710187813267,62.59100341796875,5.537435531616211,5.538409233093262,55.21416,50.21227,39.25035,38.056313,47.758,31.874348,4.3170356e-08
